i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.07,,,,,,,,,,,,,,,,,,,
2,4.80,5.13,,,,,,,,,,,,,,,,,,
3,4.52,4.86,5.17,,,,,,,,,,,,,,,,,
4,4.25,4.58,4.89,5.18,,,,,,,,,,,,,,,,
5,3.97,4.30,4.61,4.90,5.18,,,,,,,,,,,,,,,
6,3.70,4.03,4.34,4.63,4.91,5.18,,,,,,,,,,,,,,
7,3.42,3.75,4.06,4.35,4.63,4.90,5.16,,,,,,,,,,,,,
8,3.15,3.48,3.79,4.08,4.36,4.62,4.89,5.14,,,,,,,,,,,,
9,2.87,3.20,3.51,3.80,4.08,4.35,4.61,4.87,5.12,,,,,,,,,,,
10,2.60,2.93,3.24,3.53,3.80,4.07,4.34,4.59,4.85,5.10,,,,,,,,,,
11,2.32,2.65,2.96,3.25,3.53,3.80,4.06,4.32,4.57,4.82,5.07,,,,,,,,,
12,2.05,2.38,2.69,2.98,3.25,3.52,3.79,4.04,4.30,4.55,4.80,5.04,,,,,,,,
13,1.77,2.10,2.41,2.70,2.98,3.25,3.51,3.77,4.02,4.27,4.52,4.77,5.01,,,,,,,
14,1.49,1.83,2.14,2.43,2.70,2.97,3.23,3.49,3.75,4.00,4.25,4.49,4.73,4.98,,,,,,
15,1.22,1.55,1.86,2.15,2.43,2.70,2.96,3.22,3.47,3.72,3.97,4.22,4.46,4.70,4.94,,,,,
16,0.94,1.28,1.59,1.87,2.15,2.42,2.68,2.94,3.19,3.45,3.69,3.94,4.18,4.42,4.66,4.90,,,,
17,0.67,1.00,1.31,1.60,1.87,2.14,2.40,2.66,2.92,3.17,3.41,3.66,3.90,4.14,4.38,4.62,4.86,,,
18,0.40,0.72,1.03,1.31,1.59,1.85,2.11,2.37,2.62,2.87,3.12,3.36,3.60,3.84,4.08,4.32,4.55,4.79,,
19,0.16,0.45,0.73,1.00,1.26,1.52,1.77,2.01,2.26,2.50,2.74,2.97,3.21,3.44,3.68,3.91,4.14,4.37,4.60,
20,0.00,0.18,0.38,0.58,0.78,0.98,1.18,1.38,1.58,1.78,1.98,2.18,2.38,2.58,2.78,2.98,3.18,3.38,3.58,3.78
