i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.90,,,,,,,,,,,,,,,,,,,
2,6.53,7.00,,,,,,,,,,,,,,,,,,
3,6.16,6.62,6.98,,,,,,,,,,,,,,,,,
4,5.79,6.25,6.61,6.94,,,,,,,,,,,,,,,,
5,5.42,5.88,6.24,6.57,6.89,,,,,,,,,,,,,,,
6,5.05,5.51,5.87,6.20,6.52,6.83,,,,,,,,,,,,,,
7,4.68,5.14,5.50,5.83,6.15,6.46,6.76,,,,,,,,,,,,,
8,4.31,4.77,5.12,5.46,5.78,6.08,6.39,6.68,,,,,,,,,,,,
9,3.94,4.40,4.75,5.09,5.41,5.71,6.01,6.31,6.60,,,,,,,,,,,
10,3.57,4.03,4.38,4.72,5.04,5.34,5.64,5.94,6.23,6.51,,,,,,,,,,
11,3.20,3.66,4.01,4.34,4.66,4.97,5.27,5.57,5.86,6.14,6.42,,,,,,,,,
12,2.83,3.29,3.64,3.97,4.29,4.60,4.90,5.20,5.48,5.77,6.05,6.32,,,,,,,,
13,2.46,2.92,3.27,3.60,3.92,4.23,4.53,4.83,5.11,5.40,5.68,5.95,6.22,,,,,,,
14,2.09,2.55,2.90,3.23,3.55,3.86,4.16,4.46,4.74,5.03,5.31,5.58,5.85,6.12,,,,,,
15,1.72,2.18,2.53,2.86,3.18,3.49,3.79,4.08,4.37,4.65,4.93,5.21,5.48,5.75,6.01,,,,,
16,1.35,1.81,2.16,2.49,2.81,3.12,3.42,3.71,4.00,4.28,4.56,4.83,5.10,5.37,5.64,5.90,,,,
17,0.98,1.43,1.78,2.11,2.43,2.74,3.03,3.33,3.61,3.89,4.17,4.44,4.72,4.98,5.25,5.51,5.77,,,
18,0.61,1.06,1.40,1.72,2.03,2.33,2.62,2.91,3.19,3.47,3.74,4.01,4.28,4.54,4.80,5.07,5.32,5.58,,
19,0.25,0.66,0.97,1.26,1.55,1.83,2.10,2.37,2.64,2.90,3.16,3.41,3.67,3.92,4.17,4.42,4.67,4.92,5.16,
20,0.00,0.27,0.47,0.67,0.87,1.07,1.27,1.47,1.67,1.87,2.07,2.27,2.47,2.67,2.87,3.07,3.27,3.47,3.67,3.87
