i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.93,,,,,,,,,,,,,,,,,,,
2,9.41,10.38,,,,,,,,,,,,,,,,,,
3,8.89,9.86,10.44,,,,,,,,,,,,,,,,,
4,8.38,9.34,9.92,10.47,,,,,,,,,,,,,,,,
5,7.86,8.83,9.40,9.96,10.49,,,,,,,,,,,,,,,
6,7.34,8.31,8.89,9.44,9.98,10.50,,,,,,,,,,,,,,
7,6.82,7.79,8.37,8.92,9.46,9.99,10.50,,,,,,,,,,,,,
8,6.31,7.27,7.85,8.41,8.94,9.47,9.98,10.49,,,,,,,,,,,,
9,5.79,6.76,7.34,7.89,8.43,8.95,9.47,9.98,10.48,,,,,,,,,,,
10,5.27,6.24,6.82,7.37,7.91,8.43,8.95,9.46,9.96,10.46,,,,,,,,,,
11,4.76,5.72,6.30,6.86,7.39,7.92,8.43,8.94,9.44,9.94,10.43,,,,,,,,,
12,4.24,5.21,5.78,6.34,6.88,7.40,7.92,8.42,8.93,9.42,9.91,10.40,,,,,,,,
13,3.72,4.69,5.27,5.82,6.36,6.88,7.40,7.91,8.41,8.91,9.40,9.88,10.37,,,,,,,
14,3.21,4.17,4.75,5.30,5.84,6.37,6.88,7.39,7.89,8.39,8.88,9.37,9.85,10.33,,,,,,
15,2.69,3.66,4.23,4.79,5.32,5.85,6.37,6.87,7.37,7.87,8.36,8.85,9.33,9.82,10.29,,,,,
16,2.17,3.14,3.72,4.27,4.81,5.33,5.85,6.36,6.86,7.35,7.84,8.33,8.82,9.30,9.78,10.25,,,,
17,1.65,2.62,3.20,3.75,4.29,4.81,5.33,5.83,6.34,6.83,7.32,7.81,8.29,8.77,9.25,9.73,10.20,,,
18,1.14,2.09,2.67,3.22,3.75,4.27,4.79,5.29,5.79,6.28,6.77,7.26,7.74,8.22,8.70,9.17,9.64,10.11,,
19,0.61,1.53,2.07,2.60,3.11,3.62,4.11,4.60,5.09,5.57,6.05,6.53,7.00,7.47,7.94,8.40,8.87,9.33,9.79,
20,0.00,0.76,1.16,1.56,1.96,2.36,2.76,3.16,3.56,3.96,4.36,4.76,5.16,5.56,5.96,6.36,6.76,7.16,7.56,7.96
