i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.61,,,,,,,,,,,,,,,,,,
2,0.61,1.58,,,,,,,,,,,,,,,,,
3,0.61,1.58,2.55,,,,,,,,,,,,,,,,
4,0.61,1.58,2.55,3.53,,,,,,,,,,,,,,,
5,0.61,1.58,2.55,3.53,4.51,,,,,,,,,,,,,,
6,0.61,1.58,2.55,3.53,4.51,5.49,,,,,,,,,,,,,
7,0.61,1.58,2.55,3.53,4.51,5.49,6.47,,,,,,,,,,,,
8,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,,,,,,,,,,,
9,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,,,,,,,,,,
10,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,,,,,,,,,
11,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,10.41,,,,,,,,
12,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,10.41,11.39,,,,,,,
13,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,10.41,11.39,12.38,,,,,,
14,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,10.41,11.39,12.38,13.36,,,,,
15,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,10.41,11.39,12.38,13.36,14.35,,,,
16,0.61,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.44,9.42,10.41,11.39,12.38,13.36,14.35,15.35,,,
17,0.60,1.58,2.55,3.53,4.51,5.49,6.47,7.45,8.43,9.42,10.40,11.39,12.37,13.36,14.35,15.35,16.45,,
18,0.60,1.56,2.54,3.51,4.49,5.47,6.45,7.43,8.41,9.40,10.38,11.37,12.35,13.34,14.32,15.31,16.31,17.54,
19,0.51,1.45,2.40,3.36,4.32,5.29,6.26,7.23,8.20,9.18,10.15,11.13,12.11,13.09,14.07,15.05,16.02,17.19,18.30
