i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,7.83,,,,,,,,,,,,,,,,,,,
2,7.41,8.01,,,,,,,,,,,,,,,,,,
3,6.99,7.6,8.15,,,,,,,,,,,,,,,,,
4,6.57,7.18,7.73,8.25,,,,,,,,,,,,,,,,
5,6.15,6.76,7.31,7.83,8.34,,,,,,,,,,,,,,,
6,5.73,6.34,6.89,7.42,7.92,8.42,,,,,,,,,,,,,,
7,5.31,5.92,6.47,7.0,7.5,8.0,8.49,,,,,,,,,,,,,
8,4.89,5.5,6.05,6.58,7.09,7.58,8.07,8.55,,,,,,,,,,,,
9,4.48,5.08,5.63,6.16,6.67,7.16,7.65,8.14,8.61,,,,,,,,,,,
10,4.06,4.66,5.21,5.74,6.25,6.75,7.23,7.72,8.19,8.67,,,,,,,,,,
11,3.64,4.24,4.8,5.32,5.83,6.33,6.82,7.3,7.77,8.25,8.72,,,,,,,,,
12,3.22,3.82,4.38,4.9,5.41,5.91,6.4,6.88,7.36,7.83,8.3,8.76,,,,,,,,
13,2.8,3.41,3.96,4.48,4.99,5.49,5.98,6.46,6.94,7.41,7.88,8.34,8.81,,,,,,,
14,2.38,2.99,3.54,4.06,4.57,5.07,5.56,6.04,6.52,6.99,7.46,7.92,8.39,8.85,,,,,,
15,1.96,2.57,3.12,3.64,4.15,4.65,5.14,5.62,6.1,6.57,7.04,7.51,7.97,8.43,8.89,,,,,
16,1.54,2.15,2.7,3.23,3.73,4.23,4.72,5.2,5.68,6.15,6.62,7.09,7.55,8.01,8.47,8.92,,,,
17,1.12,1.73,2.28,2.81,3.31,3.81,4.3,4.78,5.26,5.73,6.2,6.67,7.13,7.59,8.05,8.5,8.95,,,
18,0.71,1.31,1.86,2.38,2.89,3.38,3.87,4.35,4.83,5.3,5.77,6.23,6.69,7.15,7.61,8.06,8.52,8.97,,
19,0.31,0.88,1.41,1.91,2.41,2.89,3.37,3.84,4.31,4.77,5.23,5.69,6.15,6.6,7.05,7.5,7.95,8.39,8.84,
20,0.0,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,4.0,4.4,4.8,5.2,5.6,6.0,6.4,6.8,7.2,7.6
