i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.74,,,,,,,,,,,,,,,,,,
2,0.74,1.69,,,,,,,,,,,,,,,,,
3,0.74,1.69,2.65,,,,,,,,,,,,,,,,
4,0.74,1.69,2.65,3.63,,,,,,,,,,,,,,,
5,0.74,1.69,2.65,3.63,4.61,,,,,,,,,,,,,,
6,0.74,1.69,2.65,3.63,4.61,5.58,,,,,,,,,,,,,
7,0.74,1.69,2.65,3.63,4.61,5.58,6.56,,,,,,,,,,,,
8,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,,,,,,,,,,,
9,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,,,,,,,,,,
10,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,9.50,,,,,,,,,
11,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,9.50,10.48,,,,,,,,
12,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,9.50,10.48,11.46,,,,,,,
13,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,9.50,10.48,11.46,12.45,,,,,,
14,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,9.50,10.48,11.46,12.45,13.43,,,,,
15,0.74,1.69,2.65,3.63,4.61,5.58,6.56,7.54,8.52,9.50,10.48,11.46,12.45,13.43,14.41,,,,
16,0.74,1.69,2.65,3.63,4.60,5.58,6.56,7.54,8.52,9.50,10.48,11.46,12.44,13.43,14.41,15.39,,,
17,0.73,1.68,2.65,3.62,4.60,5.57,6.55,7.53,8.51,9.49,10.47,11.45,12.43,13.41,14.40,15.38,16.36,,
18,0.70,1.64,2.60,3.57,4.54,5.51,6.49,7.46,8.44,9.41,10.39,11.37,12.35,13.33,14.31,15.29,16.27,17.26,
19,0.53,1.39,2.29,3.22,4.16,5.09,6.04,6.99,7.95,8.90,9.86,10.82,11.79,12.75,13.71,14.68,15.65,16.62,17.59
