i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.13,,,,,,,,,,,,,,,,,,,
2,5.80,6.25,,,,,,,,,,,,,,,,,,
3,5.47,5.92,6.44,,,,,,,,,,,,,,,,,
4,5.14,5.59,6.11,6.60,,,,,,,,,,,,,,,,
5,4.81,5.26,5.78,6.27,6.76,,,,,,,,,,,,,,,
6,4.48,4.92,5.44,5.94,6.43,6.90,,,,,,,,,,,,,,
7,4.15,4.59,5.11,5.61,6.10,6.57,7.04,,,,,,,,,,,,,
8,3.82,4.26,4.78,5.28,5.77,6.24,6.71,7.17,,,,,,,,,,,,
9,3.49,3.93,4.45,4.95,5.43,5.91,6.38,6.84,7.30,,,,,,,,,,,
10,3.16,3.60,4.12,4.62,5.10,5.58,6.05,6.51,6.97,7.42,,,,,,,,,,
11,2.83,3.27,3.79,4.29,4.77,5.25,5.72,6.18,6.64,7.09,7.55,,,,,,,,,
12,2.50,2.94,3.46,3.96,4.44,4.92,5.39,5.85,6.31,6.76,7.22,7.67,,,,,,,,
13,2.17,2.61,3.13,3.63,4.11,4.59,5.05,5.52,5.98,6.43,6.89,7.34,7.78,,,,,,,
14,1.83,2.28,2.80,3.30,3.78,4.26,4.72,5.19,5.65,6.10,6.55,7.00,7.45,7.90,,,,,,
15,1.50,1.95,2.47,2.97,3.45,3.92,4.39,4.86,5.32,5.77,6.22,6.67,7.12,7.57,8.01,,,,,
16,1.17,1.62,2.14,2.63,3.12,3.59,4.06,4.53,4.98,5.44,5.89,6.34,6.79,7.24,7.68,8.12,,,,
17,0.84,1.29,1.81,2.30,2.79,3.26,3.73,4.19,4.65,5.11,5.56,6.01,6.46,6.90,7.35,7.79,8.23,,,
18,0.51,0.95,1.47,1.97,2.45,2.93,3.39,3.86,4.31,4.77,5.22,5.67,6.12,6.56,7.01,7.45,7.89,8.33,,
19,0.20,0.62,1.12,1.61,2.08,2.55,3.01,3.47,3.92,4.37,4.82,5.26,5.71,6.15,6.59,7.03,7.46,7.90,8.34,
20,0.00,0.27,0.67,1.07,1.47,1.87,2.27,2.67,3.07,3.47,3.87,4.27,4.67,5.07,5.47,5.87,6.27,6.67,7.07,7.47
