i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.22,,,,,,,,,,,,,,,,,,
2,0.22,0.77,,,,,,,,,,,,,,,,,
3,0.22,0.77,1.44,,,,,,,,,,,,,,,,
4,0.22,0.77,1.44,2.15,,,,,,,,,,,,,,,
5,0.22,0.77,1.44,2.15,2.9,,,,,,,,,,,,,,
6,0.22,0.77,1.44,2.15,2.9,3.66,,,,,,,,,,,,,
7,0.22,0.77,1.44,2.15,2.9,3.66,4.45,,,,,,,,,,,,
8,0.22,0.77,1.44,2.15,2.9,3.66,4.45,5.25,,,,,,,,,,,
9,0.22,0.77,1.44,2.15,2.9,3.66,4.45,5.25,6.06,,,,,,,,,,
10,0.22,0.77,1.44,2.15,2.9,3.66,4.45,5.25,6.06,6.89,,,,,,,,,
11,0.22,0.77,1.44,2.15,2.9,3.66,4.45,5.25,6.06,6.89,7.72,,,,,,,,
12,0.22,0.77,1.44,2.15,2.9,3.66,4.45,5.25,6.06,6.89,7.72,8.55,,,,,,,
13,0.22,0.77,1.44,2.15,2.9,3.66,4.45,5.25,6.06,6.89,7.71,8.55,9.39,,,,,,
14,0.22,0.77,1.43,2.15,2.89,3.66,4.45,5.25,6.06,6.88,7.71,8.55,9.39,10.24,,,,,
15,0.21,0.77,1.43,2.15,2.89,3.66,4.45,5.25,6.06,6.88,7.71,8.55,9.39,10.24,11.09,,,,
16,0.21,0.77,1.42,2.14,2.88,3.65,4.44,5.23,6.05,6.87,7.7,8.53,9.37,10.22,11.07,11.93,,,
17,0.2,0.75,1.4,2.11,2.85,3.62,4.4,5.2,6.01,6.82,7.65,8.49,9.33,10.17,11.02,11.88,12.74,,
18,0.17,0.69,1.33,2.02,2.75,3.51,4.28,5.07,5.87,6.68,7.51,8.34,9.17,10.01,10.86,11.71,12.57,13.43,
19,0.11,0.53,1.1,1.74,2.43,3.15,3.89,4.66,5.43,6.22,7.02,7.83,8.65,9.47,10.3,11.14,11.98,12.82,13.67
