i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.08,,,,,,,,,,,,,,,,,,
2,0.08,0.75,,,,,,,,,,,,,,,,,
3,0.08,0.75,1.53,,,,,,,,,,,,,,,,
4,0.08,0.75,1.53,2.35,,,,,,,,,,,,,,,
5,0.08,0.75,1.53,2.35,3.20,,,,,,,,,,,,,,
6,0.08,0.75,1.53,2.35,3.20,4.07,,,,,,,,,,,,,
7,0.08,0.75,1.53,2.35,3.20,4.07,4.93,,,,,,,,,,,,
8,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,,,,,,,,,,,
9,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,,,,,,,,,,
10,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,7.61,,,,,,,,,
11,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,7.61,8.51,,,,,,,,
12,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,7.61,8.51,9.40,,,,,,,
13,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,7.61,8.51,9.40,10.32,,,,,,
14,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,7.61,8.51,9.40,10.32,11.31,,,,,
15,0.08,0.75,1.53,2.35,3.20,4.07,4.93,5.82,6.71,7.61,8.51,9.40,10.31,11.31,12.60,,,,
16,0.08,0.75,1.53,2.35,3.20,4.06,4.93,5.82,6.71,7.60,8.51,9.40,10.31,11.23,12.60,12.78,,,
17,0.08,0.74,1.52,2.35,3.19,4.05,4.92,5.80,6.70,7.59,8.49,9.39,10.30,11.23,12.50,12.79,12.40,,
18,0.07,0.73,1.50,2.33,3.17,4.03,4.89,5.78,6.67,7.55,8.46,9.36,10.27,11.19,12.37,12.79,12.40,12.80,
19,0.05,0.66,1.41,2.21,3.03,3.88,4.74,5.61,6.48,7.37,8.26,9.15,10.05,10.96,11.93,12.79,12.50,12.80,13.50
