i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.46,,,,,,,,,,,,,,,,,,,
2,3.27,3.48,,,,,,,,,,,,,,,,,,
3,3.08,3.29,3.48,,,,,,,,,,,,,,,,,
4,2.89,3.10,3.29,3.46,,,,,,,,,,,,,,,,
5,2.70,2.91,3.10,3.26,3.42,,,,,,,,,,,,,,,
6,2.51,2.72,2.91,3.07,3.23,3.39,,,,,,,,,,,,,,
7,2.32,2.53,2.72,2.88,3.04,3.20,3.34,,,,,,,,,,,,,
8,2.13,2.34,2.52,2.69,2.85,3.01,3.15,3.30,,,,,,,,,,,,
9,1.94,2.15,2.33,2.50,2.66,2.82,2.96,3.11,3.25,,,,,,,,,,,
10,1.75,1.96,2.14,2.31,2.47,2.62,2.77,2.92,3.06,3.20,,,,,,,,,,
11,1.56,1.77,1.95,2.12,2.28,2.43,2.58,2.73,2.87,3.01,3.14,,,,,,,,,
12,1.37,1.58,1.76,1.93,2.09,2.24,2.39,2.54,2.68,2.82,2.95,3.09,,,,,,,,
13,1.18,1.39,1.57,1.74,1.90,2.05,2.20,2.35,2.49,2.62,2.76,2.90,3.03,,,,,,,
14,0.99,1.20,1.38,1.55,1.71,1.86,2.01,2.15,2.30,2.43,2.57,2.70,2.84,2.97,,,,,,
15,0.80,1.01,1.19,1.36,1.52,1.67,1.82,1.96,2.10,2.24,2.38,2.51,2.65,2.78,2.91,,,,,
16,0.61,0.82,1.00,1.17,1.33,1.48,1.63,1.77,1.91,2.05,2.19,2.32,2.45,2.58,2.71,2.84,,,,
17,0.42,0.63,0.81,0.98,1.13,1.29,1.43,1.57,1.71,1.85,1.99,2.12,2.25,2.38,2.51,2.64,2.77,,,
18,0.24,0.44,0.61,0.78,0.93,1.08,1.22,1.36,1.50,1.64,1.77,1.90,2.03,2.16,2.29,2.41,2.54,2.67,,
19,0.09,0.26,0.41,0.56,0.70,0.84,0.97,1.10,1.23,1.36,1.49,1.61,1.74,1.86,1.98,2.10,2.22,2.34,2.46,
20,0.00,0.09,0.19,0.29,0.39,0.49,0.59,0.69,0.79,0.89,0.99,1.09,1.19,1.29,1.39,1.49,1.59,1.69,1.79,1.89
