i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.06,,,,,,,,,,,,,,,,,,,
2,3.84,4.09,,,,,,,,,,,,,,,,,,
3,3.61,3.86,4.07,,,,,,,,,,,,,,,,,
4,3.39,3.64,3.84,4.03,,,,,,,,,,,,,,,,
5,3.17,3.42,3.62,3.81,3.98,,,,,,,,,,,,,,,
6,2.95,3.20,3.40,3.58,3.76,3.93,,,,,,,,,,,,,,
7,2.72,2.97,3.18,3.36,3.54,3.70,3.87,,,,,,,,,,,,,
8,2.50,2.75,2.95,3.14,3.31,3.48,3.64,3.80,,,,,,,,,,,,
9,2.28,2.53,2.73,2.92,3.09,3.26,3.42,3.58,3.73,,,,,,,,,,,
10,2.06,2.30,2.51,2.69,2.87,3.04,3.20,3.36,3.51,3.66,,,,,,,,,,
11,1.83,2.08,2.28,2.47,2.65,2.81,2.98,3.13,3.29,3.44,3.59,,,,,,,,,
12,1.61,1.86,2.06,2.25,2.42,2.59,2.75,2.91,3.07,3.22,3.37,3.51,,,,,,,,
13,1.39,1.64,1.84,2.02,2.20,2.37,2.53,2.69,2.84,2.99,3.14,3.29,3.43,,,,,,,
14,1.16,1.41,1.62,1.80,1.98,2.14,2.31,2.47,2.62,2.77,2.92,3.07,3.21,3.35,,,,,,
15,0.94,1.19,1.39,1.58,1.75,1.92,2.08,2.24,2.40,2.55,2.69,2.84,2.98,3.13,3.27,,,,,
16,0.72,0.97,1.17,1.35,1.53,1.69,1.86,2.01,2.17,2.32,2.47,2.61,2.76,2.90,3.04,3.18,,,,
17,0.50,0.75,0.94,1.13,1.30,1.46,1.62,1.78,1.93,2.08,2.23,2.37,2.51,2.66,2.79,2.93,3.07,,,
18,0.29,0.52,0.71,0.89,1.05,1.21,1.37,1.52,1.67,1.81,1.96,2.10,2.24,2.38,2.51,2.65,2.78,2.92,,
19,0.11,0.31,0.47,0.62,0.77,0.92,1.06,1.20,1.33,1.47,1.60,1.74,1.87,2.00,2.12,2.25,2.38,2.51,2.63,
20,0.00,0.12,0.22,0.32,0.42,0.52,0.62,0.72,0.82,0.92,1.02,1.12,1.22,1.32,1.42,1.52,1.62,1.72,1.82,1.92
