i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,3.54,,,,,,,,,,,,,,,,,,,
2,3.35,3.56,,,,,,,,,,,,,,,,,,
3,3.15,3.37,3.55,,,,,,,,,,,,,,,,,
4,2.96,3.17,3.36,3.53,,,,,,,,,,,,,,,,
5,2.76,2.98,3.17,3.34,3.5,,,,,,,,,,,,,,,
6,2.57,2.78,2.97,3.14,3.3,3.46,,,,,,,,,,,,,,
7,2.37,2.59,2.78,2.95,3.11,3.26,3.41,,,,,,,,,,,,,
8,2.18,2.4,2.58,2.75,2.91,3.07,3.22,3.36,,,,,,,,,,,,
9,1.98,2.2,2.39,2.56,2.72,2.87,3.02,3.17,3.31,,,,,,,,,,,
10,1.79,2.01,2.19,2.36,2.53,2.68,2.83,2.97,3.12,3.26,,,,,,,,,,
11,1.6,1.81,2.0,2.17,2.33,2.49,2.63,2.78,2.92,3.06,3.2,,,,,,,,,
12,1.4,1.62,1.8,1.98,2.14,2.29,2.44,2.59,2.73,2.87,3.0,3.14,,,,,,,,
13,1.21,1.42,1.61,1.78,1.94,2.1,2.25,2.39,2.53,2.67,2.81,2.95,3.08,,,,,,,
14,1.01,1.23,1.42,1.59,1.75,1.9,2.05,2.2,2.34,2.48,2.62,2.75,2.88,3.02,,,,,,
15,0.82,1.03,1.22,1.39,1.55,1.71,1.86,2.0,2.14,2.28,2.42,2.56,2.69,2.82,2.95,,,,,
16,0.62,0.84,1.03,1.2,1.36,1.51,1.66,1.8,1.95,2.09,2.22,2.36,2.49,2.62,2.75,2.88,,,,
17,0.43,0.65,0.83,1.0,1.16,1.31,1.46,1.6,1.74,1.88,2.02,2.15,2.29,2.42,2.55,2.68,2.81,,,
18,0.25,0.45,0.63,0.79,0.95,1.1,1.24,1.38,1.52,1.66,1.79,1.93,2.06,2.19,2.32,2.45,2.57,2.7,,
19,0.09,0.27,0.42,0.57,0.71,0.85,0.98,1.12,1.25,1.38,1.5,1.63,1.75,1.88,2.0,2.12,2.25,2.37,2.49,
20,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
