i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.07,,,,,,,,,,,,,,,,,,
2,0.07,0.72,,,,,,,,,,,,,,,,,
3,0.07,0.72,1.48,,,,,,,,,,,,,,,,
4,0.07,0.72,1.48,2.30,,,,,,,,,,,,,,,
5,0.07,0.72,1.48,2.30,3.13,,,,,,,,,,,,,,
6,0.07,0.72,1.48,2.30,3.13,3.99,,,,,,,,,,,,,
7,0.07,0.72,1.48,2.30,3.13,3.99,4.85,,,,,,,,,,,,
8,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,,,,,,,,,,,
9,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,,,,,,,,,,
10,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,7.50,,,,,,,,,
11,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,7.50,8.40,,,,,,,,
12,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,7.50,8.40,9.30,,,,,,,
13,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,7.50,8.40,9.30,10.20,,,,,,
14,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,7.50,8.40,9.30,10.20,11.11,,,,,
15,0.07,0.72,1.48,2.30,3.13,3.99,4.85,5.73,6.61,7.50,8.40,9.30,10.20,11.11,12.06,,,,
16,0.07,0.71,1.48,2.29,3.13,3.98,4.85,5.73,6.61,7.50,8.40,9.30,10.20,11.11,12.06,13.40,,,
17,0.07,0.71,1.48,2.29,3.12,3.98,4.84,5.72,6.60,7.49,8.39,9.29,10.19,11.10,12.01,13.40,14.10,,
18,0.06,0.70,1.46,2.26,3.09,3.95,4.81,5.68,6.56,7.45,8.34,9.24,10.15,11.05,11.97,13.04,14.10,14.11,
19,0.04,0.62,1.35,2.13,2.95,3.79,4.64,5.50,6.37,7.25,8.13,9.02,9.92,10.81,11.72,12.68,14.06,14.11,13.60
