i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.70,,,,,,,,,,,,,,,,,,,
2,5.40,6.05,,,,,,,,,,,,,,,,,,
3,5.10,5.75,6.44,,,,,,,,,,,,,,,,,
4,4.79,5.45,6.14,6.82,,,,,,,,,,,,,,,,
5,4.49,5.14,5.84,6.52,7.18,,,,,,,,,,,,,,,
6,4.19,4.84,5.54,6.21,6.88,7.54,,,,,,,,,,,,,,
7,3.89,4.54,5.23,5.91,6.58,7.24,7.90,,,,,,,,,,,,,
8,3.59,4.24,4.93,5.61,6.28,6.94,7.60,8.25,,,,,,,,,,,,
9,3.28,3.94,4.63,5.31,5.98,6.64,7.29,7.95,8.59,,,,,,,,,,,
10,2.98,3.63,4.33,5.00,5.67,6.33,6.99,7.64,8.29,8.94,,,,,,,,,,
11,2.68,3.33,4.02,4.70,5.37,6.03,6.69,7.34,7.99,8.64,9.28,,,,,,,,,
12,2.38,3.03,3.72,4.40,5.07,5.73,6.39,7.04,7.69,8.33,8.98,9.62,,,,,,,,
13,2.07,2.73,3.42,4.10,4.77,5.43,6.08,6.74,7.39,8.03,8.68,9.32,9.96,,,,,,,
14,1.77,2.42,3.12,3.80,4.46,5.13,5.78,6.43,7.08,7.73,8.37,9.01,9.65,10.29,,,,,,
15,1.47,2.12,2.82,3.49,4.16,4.82,5.48,6.13,6.78,7.43,8.07,8.71,9.35,9.99,10.63,,,,,
16,1.17,1.82,2.51,3.19,3.86,4.52,5.18,5.83,6.48,7.12,7.77,8.41,9.05,9.69,10.33,10.96,,,,
17,0.86,1.52,2.21,2.89,3.56,4.22,4.87,5.53,6.18,6.82,7.47,8.11,8.75,9.39,10.02,10.66,11.29,,,
18,0.56,1.21,1.91,2.59,3.25,3.91,4.57,5.22,5.87,6.52,7.16,7.80,8.44,9.08,9.72,10.35,10.99,11.62,,
19,0.26,0.91,1.59,2.27,2.93,3.59,4.24,4.89,5.54,6.18,6.82,7.46,8.10,8.74,9.37,10.01,10.64,11.27,11.90,
20,0.00,0.53,1.13,1.73,2.33,2.93,3.53,4.13,4.73,5.33,5.93,6.53,7.13,7.73,8.33,8.93,9.53,10.13,10.73,11.33
