i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.22,,,,,,,,,,,,,,,,,,,
2,7.78,8.58,,,,,,,,,,,,,,,,,,
3,7.35,8.14,8.88,,,,,,,,,,,,,,,,,
4,6.91,7.7,8.44,9.16,,,,,,,,,,,,,,,,
5,6.47,7.27,8.01,8.72,9.43,,,,,,,,,,,,,,,
6,6.04,6.83,7.57,8.29,8.99,9.68,,,,,,,,,,,,,,
7,5.6,6.39,7.13,7.85,8.55,9.24,9.93,,,,,,,,,,,,,
8,5.16,5.96,6.7,7.41,8.12,8.81,9.49,10.17,,,,,,,,,,,,
9,4.73,5.52,6.26,6.98,7.68,8.37,9.05,9.73,10.4,,,,,,,,,,,
10,4.29,5.08,5.82,6.54,7.24,7.93,8.62,9.29,9.97,10.63,,,,,,,,,,
11,3.85,4.65,5.39,6.1,6.81,7.5,8.18,8.86,9.53,10.2,10.86,,,,,,,,,
12,3.42,4.21,4.95,5.67,6.37,7.06,7.74,8.42,9.09,9.76,10.43,11.09,,,,,,,,
13,2.98,3.77,4.51,5.23,5.93,6.62,7.31,7.98,8.66,9.32,9.99,10.65,11.31,,,,,,,
14,2.54,3.34,4.08,4.79,5.5,6.19,6.87,7.55,8.22,8.89,9.55,10.21,10.87,11.53,,,,,,
15,2.11,2.9,3.64,4.36,5.06,5.75,6.43,7.11,7.78,8.45,9.12,9.78,10.44,11.09,11.75,,,,,
16,1.67,2.46,3.2,3.92,4.62,5.31,6.0,6.67,7.35,8.01,8.68,9.34,10.0,10.66,11.31,11.96,,,,
17,1.23,2.03,2.77,3.48,4.18,4.88,5.56,6.24,6.91,7.58,8.24,8.9,9.56,10.22,10.87,11.53,12.18,,,
18,0.8,1.59,2.33,3.04,3.75,4.44,5.12,5.8,6.47,7.14,7.8,8.46,9.12,9.78,10.43,11.08,11.74,12.38,,
19,0.37,1.14,1.87,2.58,3.27,3.96,4.63,5.31,5.97,6.64,7.3,7.96,8.61,9.26,9.92,10.56,11.21,11.86,12.5,
20,0.0,0.6,1.2,1.8,2.4,3.0,3.6,4.2,4.8,5.4,6.0,6.6,7.2,7.8,8.4,9.0,9.6,10.2,10.8,11.4
