i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.57,,,,,,,,,,,,,,,,,,
2,1.57,2.66,,,,,,,,,,,,,,,,,
3,1.57,2.66,3.81,,,,,,,,,,,,,,,,
4,1.57,2.66,3.81,4.93,,,,,,,,,,,,,,,
5,1.57,2.66,3.81,4.93,6.04,,,,,,,,,,,,,,
6,1.57,2.66,3.81,4.93,6.04,7.14,,,,,,,,,,,,,
7,1.57,2.66,3.81,4.93,6.04,7.14,8.22,,,,,,,,,,,,
8,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,,,,,,,,,,,
9,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,,,,,,,,,,
10,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,11.46,,,,,,,,,
11,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,11.46,12.52,,,,,,,,
12,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,11.46,12.52,13.59,,,,,,,
13,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,11.46,12.52,13.59,14.65,,,,,,
14,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,11.46,12.52,13.59,14.65,15.71,,,,,
15,1.57,2.66,3.81,4.93,6.04,7.14,8.22,9.31,10.38,11.46,12.52,13.59,14.65,15.71,16.77,,,,
16,1.57,2.66,3.81,4.93,6.04,7.13,8.22,9.31,10.38,11.46,12.52,13.59,14.65,15.71,16.77,17.82,,,
17,1.57,2.66,3.81,4.93,6.03,7.13,8.22,9.30,10.38,11.45,12.52,13.58,14.65,15.71,16.76,17.82,18.87,,
18,1.55,2.63,3.77,4.89,5.99,7.08,8.17,9.25,10.33,11.40,12.46,13.53,14.59,15.65,16.70,17.76,18.81,19.86,
19,1.17,2.28,3.36,4.44,5.50,6.57,7.63,8.68,9.73,10.78,11.83,12.88,13.92,14.96,16.00,17.04,18.08,19.12,20.16
