i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.15,,,,,,,,,,,,,,,,,,,
2,8.67,9.52,,,,,,,,,,,,,,,,,,
3,8.18,9.03,9.79,,,,,,,,,,,,,,,,,
4,7.69,8.55,9.31,10.04,,,,,,,,,,,,,,,,
5,7.21,8.06,8.82,9.56,10.28,,,,,,,,,,,,,,,
6,6.72,7.58,8.34,9.07,9.79,10.50,,,,,,,,,,,,,,
7,6.24,7.09,7.85,8.59,9.31,10.01,10.71,,,,,,,,,,,,,
8,5.75,6.61,7.37,8.10,8.82,9.53,10.22,10.91,,,,,,,,,,,,
9,5.27,6.12,6.88,7.62,8.33,9.04,9.74,10.43,11.11,,,,,,,,,,,
10,4.78,5.63,6.40,7.13,7.85,8.56,9.25,9.94,10.63,11.31,,,,,,,,,,
11,4.30,5.15,5.91,6.65,7.36,8.07,8.77,9.46,10.14,10.82,11.50,,,,,,,,,
12,3.81,4.66,5.42,6.16,6.88,7.58,8.28,8.97,9.66,10.34,11.01,11.68,,,,,,,,
13,3.32,4.18,4.94,5.67,6.39,7.10,7.80,8.49,9.17,9.85,10.53,11.20,11.87,,,,,,,
14,2.84,3.69,4.45,5.19,5.91,6.61,7.31,8.00,8.69,9.37,10.04,10.71,11.38,12.05,,,,,,
15,2.35,3.21,3.97,4.70,5.42,6.13,6.83,7.52,8.20,8.88,9.56,10.23,10.90,11.56,12.22,,,,,
16,1.87,2.72,3.48,4.22,4.94,5.64,6.34,7.03,7.71,8.39,9.07,9.74,10.41,11.08,11.74,12.40,,,,
17,1.38,2.24,3.00,3.73,4.45,5.16,5.85,6.54,7.23,7.91,8.58,9.26,9.92,10.59,11.25,11.91,12.57,,,
18,0.90,1.75,2.51,3.24,3.96,4.67,5.36,6.05,6.74,7.42,8.09,8.76,9.43,10.10,10.76,11.42,12.08,12.74,,
19,0.41,1.25,2.00,2.72,3.43,4.13,4.82,5.50,6.18,6.85,7.52,8.19,8.85,9.51,10.17,10.83,11.49,12.14,12.79,
20,0.00,0.64,1.24,1.84,2.44,3.04,3.64,4.24,4.84,5.44,6.04,6.64,7.24,7.84,8.44,9.04,9.64,10.24,10.84,11.44
