i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.71,,,,,,,,,,,,,,,,,,,
2,4.46,5.14,,,,,,,,,,,,,,,,,,
3,4.21,4.89,5.57,,,,,,,,,,,,,,,,,
4,3.96,4.64,5.32,5.98,,,,,,,,,,,,,,,,
5,3.71,4.40,5.07,5.73,6.39,,,,,,,,,,,,,,,
6,3.46,4.15,4.82,5.49,6.14,6.79,,,,,,,,,,,,,,
7,3.21,3.90,4.57,5.24,5.89,6.54,7.19,,,,,,,,,,,,,
8,2.96,3.65,4.32,4.99,5.64,6.29,6.94,7.58,,,,,,,,,,,,
9,2.71,3.40,4.07,4.74,5.39,6.04,6.69,7.33,7.97,,,,,,,,,,,
10,2.47,3.15,3.82,4.49,5.14,5.79,6.44,7.08,7.72,8.36,,,,,,,,,,
11,2.22,2.90,3.58,4.24,4.89,5.54,6.19,6.83,7.47,8.11,8.75,,,,,,,,,
12,1.97,2.65,3.33,3.99,4.65,5.30,5.94,6.58,7.22,7.86,8.50,9.13,,,,,,,,
13,1.72,2.40,3.08,3.74,4.40,5.05,5.69,6.33,6.98,7.61,8.25,8.88,9.52,,,,,,,
14,1.47,2.15,2.83,3.49,4.15,4.80,5.44,6.09,6.73,7.36,8.00,8.63,9.27,9.90,,,,,,
15,1.22,1.90,2.58,3.24,3.90,4.55,5.19,5.84,6.48,7.11,7.75,8.38,9.02,9.65,10.28,,,,,
16,0.97,1.65,2.33,2.99,3.65,4.30,4.94,5.59,6.23,6.86,7.50,8.14,8.77,9.40,10.03,10.66,,,,
17,0.72,1.40,2.08,2.74,3.40,4.05,4.69,5.34,5.98,6.62,7.25,7.89,8.52,9.15,9.78,10.41,11.04,,,
18,0.47,1.15,1.83,2.49,3.15,3.80,4.44,5.09,5.73,6.36,7.00,7.64,8.27,8.90,9.53,10.16,10.79,11.40,,
19,0.22,0.90,1.57,2.23,2.89,3.53,4.18,4.82,5.46,6.09,6.73,7.36,7.99,8.62,9.25,9.88,10.51,11.12,11.65,
20,0.00,0.58,1.18,1.78,2.38,2.98,3.58,4.18,4.78,5.38,5.98,6.58,7.18,7.78,8.38,8.98,9.58,10.18,10.78,11.38
