i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.55,,,,,,,,,,,,,,,,,,
2,1.55,2.61,,,,,,,,,,,,,,,,,
3,1.55,2.61,3.74,,,,,,,,,,,,,,,,
4,1.55,2.61,3.74,4.86,,,,,,,,,,,,,,,
5,1.55,2.61,3.74,4.86,5.97,,,,,,,,,,,,,,
6,1.55,2.61,3.74,4.86,5.97,7.07,,,,,,,,,,,,,
7,1.55,2.61,3.74,4.86,5.97,7.07,8.16,,,,,,,,,,,,
8,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,,,,,,,,,,,
9,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,,,,,,,,,,
10,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,,,,,,,,,
11,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,12.47,,,,,,,,
12,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,12.47,13.54,,,,,,,
13,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,12.47,13.54,14.61,,,,,,
14,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,12.47,13.54,14.61,15.67,,,,,
15,1.55,2.61,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,12.47,13.54,14.61,15.67,16.73,,,,
16,1.55,2.60,3.74,4.86,5.97,7.07,8.16,9.25,10.33,11.40,12.47,13.54,14.61,15.67,16.73,17.78,,,
17,1.55,2.60,3.74,4.86,5.97,7.07,8.16,9.24,10.32,11.40,12.47,13.54,14.60,15.66,16.72,17.78,18.83,,
18,1.53,2.57,3.70,4.82,5.92,7.02,8.11,9.19,10.27,11.34,12.41,13.48,14.54,15.60,16.66,17.71,18.77,19.82,
19,1.10,2.20,3.28,4.35,5.42,6.49,7.55,8.61,9.66,10.71,11.76,12.81,13.85,14.89,15.94,16.98,18.02,19.05,20.09
