i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.07,,,,,,,,,,,,,,,,,,
2,2.07,3.22,,,,,,,,,,,,,,,,,
3,2.07,3.22,4.37,,,,,,,,,,,,,,,,
4,2.07,3.22,4.37,5.50,,,,,,,,,,,,,,,
5,2.07,3.22,4.37,5.50,6.62,,,,,,,,,,,,,,
6,2.07,3.22,4.37,5.50,6.62,7.72,,,,,,,,,,,,,
7,2.07,3.22,4.37,5.50,6.62,7.72,8.82,,,,,,,,,,,,
8,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,,,,,,,,,,,
9,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,,,,,,,,,,
10,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,,,,,,,,,
11,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,13.15,,,,,,,,
12,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,13.15,14.22,,,,,,,
13,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,13.15,14.22,15.29,,,,,,
14,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,13.15,14.22,15.29,16.35,,,,,
15,2.07,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,13.15,14.22,15.29,16.35,17.42,,,,
16,2.06,3.22,4.37,5.50,6.62,7.72,8.82,9.91,10.99,12.07,13.14,14.22,15.29,16.35,17.42,18.48,,,
17,2.06,3.22,4.37,5.50,6.61,7.72,8.81,9.90,10.98,12.06,13.14,14.21,15.28,16.35,17.41,18.47,19.53,,
18,2.03,3.17,4.31,5.44,6.55,7.65,8.74,9.83,10.91,11.99,13.06,14.13,15.20,16.27,17.33,18.39,19.45,20.50,
19,1.63,2.73,3.81,4.88,5.94,7.01,8.07,9.13,10.18,11.23,12.28,13.33,14.38,15.43,16.47,17.51,18.56,19.60,20.64
