i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.95,,,,,,,,,,,,,,,,,,
2,0.95,2.06,,,,,,,,,,,,,,,,,
3,0.95,2.06,3.14,,,,,,,,,,,,,,,,
4,0.95,2.06,3.14,4.21,,,,,,,,,,,,,,,
5,0.95,2.06,3.14,4.21,5.26,,,,,,,,,,,,,,
6,0.95,2.06,3.14,4.21,5.26,6.32,,,,,,,,,,,,,
7,0.95,2.06,3.14,4.21,5.26,6.32,7.36,,,,,,,,,,,,
8,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,,,,,,,,,,,
9,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,,,,,,,,,,
10,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,,,,,,,,,
11,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,11.52,,,,,,,,
12,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,11.52,12.55,,,,,,,
13,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,11.52,12.55,13.58,,,,,,
14,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,11.52,12.55,13.58,14.62,,,,,
15,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,11.52,12.55,13.58,14.61,15.64,,,,
16,0.95,2.06,3.14,4.21,5.26,6.32,7.36,8.40,9.44,10.48,11.52,12.55,13.58,14.61,15.64,16.67,,,
17,0.95,2.06,3.14,4.21,5.26,6.31,7.36,8.40,9.44,10.48,11.52,12.55,13.58,14.61,15.64,16.67,17.70,,
18,0.95,2.05,3.13,4.20,5.25,6.30,7.35,8.39,9.43,10.47,11.50,12.54,13.57,14.60,15.63,16.66,17.68,18.71,
19,0.85,1.93,2.99,4.04,5.08,6.12,7.16,8.19,9.22,10.25,11.28,12.30,13.33,14.35,15.38,16.40,17.42,18.44,19.46
