i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.20,,,,,,,,,,,,,,,,,,,
2,8.72,9.59,,,,,,,,,,,,,,,,,,
3,8.23,9.11,9.87,,,,,,,,,,,,,,,,,
4,7.74,8.62,9.38,10.11,,,,,,,,,,,,,,,,
5,7.26,8.13,8.89,9.63,10.34,,,,,,,,,,,,,,,
6,6.77,7.65,8.41,9.14,9.86,10.56,,,,,,,,,,,,,,
7,6.28,7.16,7.92,8.65,9.37,10.08,10.77,,,,,,,,,,,,,
8,5.80,6.67,7.43,8.17,8.88,9.59,10.29,10.98,,,,,,,,,,,,
9,5.31,6.18,6.94,7.68,8.40,9.10,9.80,10.49,11.17,,,,,,,,,,,
10,4.82,5.70,6.46,7.19,7.91,8.62,9.31,10.00,10.69,11.37,,,,,,,,,,
11,4.33,5.21,5.97,6.71,7.42,8.13,8.83,9.52,10.20,10.88,11.56,,,,,,,,,
12,3.85,4.72,5.48,6.22,6.94,7.64,8.34,9.03,9.71,10.39,11.07,11.74,,,,,,,,
13,3.36,4.24,5.00,5.73,6.45,7.16,7.85,8.54,9.23,9.91,10.58,11.25,11.92,,,,,,,
14,2.87,3.75,4.51,5.24,5.96,6.67,7.37,8.06,8.74,9.42,10.09,10.77,11.43,12.10,,,,,,
15,2.39,3.26,4.02,4.76,5.48,6.18,6.88,7.57,8.25,8.93,9.61,10.28,10.95,11.61,12.28,,,,,
16,1.90,2.78,3.54,4.27,4.99,5.69,6.39,7.08,7.77,8.45,9.12,9.79,10.46,11.13,11.79,12.45,,,,
17,1.41,2.29,3.05,3.78,4.50,5.21,5.90,6.59,7.28,7.96,8.63,9.30,9.97,10.64,11.30,11.96,12.62,,,
18,0.93,1.80,2.56,3.29,4.01,4.72,5.41,6.10,6.79,7.46,8.14,8.81,9.48,10.14,10.81,11.47,12.13,12.78,,
19,0.44,1.30,2.04,2.77,3.48,4.17,4.86,5.55,6.22,6.90,7.57,8.23,8.90,9.56,10.22,10.88,11.53,12.18,12.84,
20,0.00,0.67,1.27,1.87,2.47,3.07,3.67,4.27,4.87,5.47,6.07,6.67,7.27,7.87,8.47,9.07,9.67,10.27,10.87,11.47
