i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,8.66,,,,,,,,,,,,,,,,,,,
2,8.20,9.05,,,,,,,,,,,,,,,,,,
3,7.74,8.59,9.34,,,,,,,,,,,,,,,,,
4,7.28,8.13,8.88,9.60,,,,,,,,,,,,,,,,
5,6.83,7.67,8.42,9.14,9.85,,,,,,,,,,,,,,,
6,6.37,7.21,7.96,8.69,9.39,10.09,,,,,,,,,,,,,,
7,5.91,6.76,7.50,8.23,8.94,9.63,10.32,,,,,,,,,,,,,
8,5.45,6.30,7.05,7.77,8.48,9.17,9.86,10.55,,,,,,,,,,,,
9,4.99,5.84,6.59,7.31,8.02,8.72,9.40,10.09,10.76,,,,,,,,,,,
10,4.53,5.38,6.13,6.85,7.56,8.26,8.95,9.63,10.31,10.98,,,,,,,,,,
11,4.08,4.92,5.67,6.39,7.10,7.80,8.49,9.17,9.85,10.52,11.19,,,,,,,,,
12,3.62,4.46,5.21,5.94,6.64,7.34,8.03,8.71,9.39,10.06,10.73,11.40,,,,,,,,
13,3.16,4.01,4.75,5.48,6.19,6.88,7.57,8.25,8.93,9.60,10.27,10.94,11.60,,,,,,,
14,2.70,3.55,4.30,5.02,5.73,6.42,7.11,7.80,8.47,9.15,9.81,10.48,11.14,11.80,,,,,,
15,2.24,3.09,3.84,4.56,5.27,5.97,6.66,7.34,8.01,8.69,9.36,10.02,10.68,11.34,12.00,,,,,
16,1.78,2.63,3.38,4.10,4.81,5.51,6.20,6.88,7.56,8.23,8.90,9.56,10.23,10.89,11.54,12.20,,,,
17,1.33,2.17,2.92,3.65,4.35,5.05,5.74,6.42,7.10,7.77,8.44,9.10,9.77,10.43,11.09,11.74,12.40,,,
18,0.87,1.71,2.46,3.18,3.89,4.59,5.28,5.96,6.63,7.31,7.97,8.64,9.30,9.96,10.62,11.28,11.93,12.58,,
19,0.41,1.24,1.98,2.69,3.39,4.08,4.76,5.44,6.11,6.78,7.44,8.10,8.76,9.42,10.07,10.73,11.38,12.03,12.67,
20,0.00,0.66,1.26,1.86,2.46,3.06,3.66,4.26,4.86,5.46,6.06,6.66,7.26,7.86,8.46,9.06,9.66,10.26,10.86,11.46
