i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,5.42,,,,,,,,,,,,,,,,,,,
2,5.14,6.21,,,,,,,,,,,,,,,,,,
3,4.85,5.92,6.89,,,,,,,,,,,,,,,,,
4,4.57,5.64,6.61,7.57,,,,,,,,,,,,,,,,
5,4.28,5.35,6.32,7.28,8.23,,,,,,,,,,,,,,,
6,4.00,5.07,6.04,7.00,7.95,8.90,,,,,,,,,,,,,,
7,3.71,4.78,5.75,6.71,7.66,8.61,9.55,,,,,,,,,,,,,
8,3.43,4.50,5.47,6.43,7.38,8.32,9.27,10.21,,,,,,,,,,,,
9,3.14,4.21,5.18,6.14,7.09,8.04,8.98,9.92,10.86,,,,,,,,,,,
10,2.86,3.93,4.90,5.86,6.81,7.75,8.70,9.64,10.57,11.51,,,,,,,,,,
11,2.57,3.64,4.61,5.57,6.52,7.47,8.41,9.35,10.29,11.22,12.15,,,,,,,,,
12,2.28,3.36,4.33,5.29,6.24,7.18,8.13,9.06,10.00,10.94,11.87,12.80,,,,,,,,
13,2.00,3.07,4.04,5.00,5.95,6.90,7.84,8.78,9.72,10.65,11.58,12.51,13.44,,,,,,,
14,1.71,2.79,3.76,4.72,5.67,6.61,7.56,8.49,9.43,10.36,11.30,12.23,13.16,14.09,,,,,,
15,1.43,2.50,3.47,4.43,5.38,6.33,7.27,8.21,9.15,10.08,11.01,11.94,12.87,13.80,14.73,,,,,
16,1.14,2.22,3.19,4.15,5.10,6.04,6.99,7.92,8.86,9.79,10.73,11.66,12.59,13.52,14.44,15.37,,,,
17,0.86,1.93,2.90,3.86,4.81,5.76,6.70,7.64,8.58,9.51,10.44,11.37,12.30,13.23,14.16,15.08,16.01,,,
18,0.57,1.65,2.62,3.58,4.53,5.47,6.41,7.35,8.29,9.22,10.16,11.09,12.02,12.94,13.87,14.80,15.72,16.65,,
19,0.29,1.37,2.34,3.29,4.24,5.19,6.13,7.07,8.00,8.94,9.87,10.80,11.73,12.65,13.58,14.51,15.43,16.36,17.28,
20,0.00,0.98,1.88,2.78,3.68,4.58,5.48,6.38,7.28,8.18,9.08,9.98,10.88,11.78,12.68,13.58,14.48,15.38,16.28,17.18
