i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.78,,,,,,,,,,,,,,,,,,
2,1.78,3.22,,,,,,,,,,,,,,,,,
3,1.78,3.22,4.55,,,,,,,,,,,,,,,,
4,1.78,3.22,4.55,5.81,,,,,,,,,,,,,,,
5,1.78,3.22,4.55,5.81,7.05,,,,,,,,,,,,,,
6,1.78,3.22,4.55,5.81,7.05,8.26,,,,,,,,,,,,,
7,1.78,3.22,4.55,5.81,7.05,8.26,9.45,,,,,,,,,,,,
8,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,,,,,,,,,,,
9,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,,,,,,,,,,
10,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,,,,,,,,,
11,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,,,,,,,,
12,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,,,,,,,
13,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,16.39,,,,,,
14,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,16.39,17.53,,,,,
15,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,16.39,17.53,18.65,,,,
16,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,16.39,17.53,18.65,19.78,,,
17,1.78,3.22,4.55,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,16.39,17.53,18.65,19.78,20.90,,
18,1.78,3.22,4.54,5.81,7.05,8.26,9.45,10.63,11.80,12.96,14.11,15.25,16.39,17.52,18.65,19.78,20.90,22.01,
19,1.74,3.17,4.49,5.75,6.98,8.19,9.38,10.56,11.72,12.88,14.03,15.17,16.30,17.43,18.56,19.68,20.80,21.92,23.03
