i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4.51,,,,,,,,,,,,,,,,,,,
2,4.28,5.26,,,,,,,,,,,,,,,,,,
3,4.04,5.02,5.98,,,,,,,,,,,,,,,,,
4,3.8,4.78,5.74,6.69,,,,,,,,,,,,,,,,
5,3.56,4.54,5.5,6.45,7.39,,,,,,,,,,,,,,,
6,3.32,4.3,5.26,6.21,7.16,8.09,,,,,,,,,,,,,,
7,3.09,4.07,5.03,5.98,6.92,7.86,8.79,,,,,,,,,,,,,
8,2.85,3.83,4.79,5.74,6.68,7.62,8.55,9.49,,,,,,,,,,,,
9,2.61,3.59,4.55,5.5,6.44,7.38,8.32,9.25,10.18,,,,,,,,,,,
10,2.37,3.35,4.31,5.26,6.2,7.14,8.08,9.01,9.94,10.87,,,,,,,,,,
11,2.13,3.11,4.07,5.02,5.97,6.9,7.84,8.77,9.7,10.63,11.56,,,,,,,,,
12,1.9,2.88,3.84,4.79,5.73,6.67,7.6,8.54,9.47,10.4,11.32,12.25,,,,,,,,
13,1.66,2.64,3.6,4.55,5.49,6.43,7.36,8.3,9.23,10.16,11.09,12.01,12.94,,,,,,,
14,1.42,2.4,3.36,4.31,5.25,6.19,7.13,8.06,8.99,9.92,10.85,11.77,12.7,13.62,,,,,,
15,1.18,2.16,3.12,4.07,5.01,5.95,6.89,7.82,8.75,9.68,10.61,11.54,12.46,13.39,14.31,,,,,
16,0.94,1.92,2.88,3.83,4.78,5.71,6.65,7.58,8.51,9.44,10.37,11.3,12.22,13.15,14.07,14.99,,,,
17,0.71,1.69,2.65,3.6,4.54,5.48,6.41,7.35,8.28,9.21,10.13,11.06,11.98,12.91,13.83,14.76,15.68,,,
18,0.47,1.45,2.41,3.36,4.3,5.24,6.17,7.11,8.04,8.97,9.9,10.82,11.75,12.67,13.59,14.52,15.44,16.36,,
19,0.23,1.21,2.17,3.12,4.06,5.0,5.93,6.86,7.8,8.72,9.65,10.58,11.5,12.43,13.35,14.27,15.19,16.12,17.04,
20,0.0,0.9,1.8,2.7,3.6,4.5,5.4,6.3,7.2,8.1,9.0,9.9,10.8,11.7,12.6,13.5,14.4,15.3,16.2,17.1
