i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.38,,,,,,,,,,,,,,,,,,
2,2.38,3.98,,,,,,,,,,,,,,,,,
3,2.38,3.98,5.42,,,,,,,,,,,,,,,,
4,2.38,3.98,5.42,6.79,,,,,,,,,,,,,,,
5,2.38,3.98,5.42,6.79,8.11,,,,,,,,,,,,,,
6,2.38,3.98,5.42,6.79,8.11,9.4,,,,,,,,,,,,,
7,2.38,3.98,5.42,6.79,8.11,9.4,10.66,,,,,,,,,,,,
8,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,,,,,,,,,,,
9,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,,,,,,,,,,
10,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,,,,,,,,,
11,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,,,,,,,,
12,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,,,,,,,
13,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,17.94,,,,,,
14,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,17.94,19.11,,,,,
15,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,17.94,19.11,20.29,,,,
16,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,17.94,19.11,20.29,21.46,,,
17,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,17.94,19.11,20.29,21.46,22.62,,
18,2.38,3.98,5.42,6.79,8.11,9.4,10.66,11.9,13.13,14.35,15.55,16.75,17.93,19.11,20.29,21.45,22.62,23.77,
19,2.3,3.89,5.32,6.68,7.99,9.27,10.53,11.77,12.99,14.21,15.41,16.6,17.78,18.96,20.13,21.29,22.45,23.61,24.76
