i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.73,,,,,,,,,,,,,,,,,,,
2,2.59,3.39,,,,,,,,,,,,,,,,,,
3,2.44,3.24,4.18,,,,,,,,,,,,,,,,,
4,2.30,3.10,4.04,4.97,,,,,,,,,,,,,,,,
5,2.16,2.95,3.89,4.82,5.75,,,,,,,,,,,,,,,
6,2.01,2.81,3.75,4.68,5.61,6.53,,,,,,,,,,,,,,
7,1.87,2.67,3.60,4.53,5.46,6.39,7.31,,,,,,,,,,,,,
8,1.72,2.52,3.46,4.39,5.32,6.24,7.17,8.09,,,,,,,,,,,,
9,1.58,2.38,3.31,4.25,5.17,6.10,7.02,7.94,8.86,,,,,,,,,,,
10,1.44,2.23,3.17,4.10,5.03,5.96,6.88,7.80,8.72,9.64,,,,,,,,,,
11,1.29,2.09,3.03,3.96,4.89,5.81,6.73,7.66,8.58,9.49,10.41,,,,,,,,,
12,1.15,1.94,2.88,3.81,4.74,5.67,6.59,7.51,8.43,9.35,10.27,11.19,,,,,,,,
13,1.00,1.80,2.74,3.67,4.60,5.52,6.45,7.37,8.29,9.21,10.12,11.04,11.96,,,,,,,
14,0.86,1.66,2.59,3.53,4.45,5.38,6.30,7.22,8.14,9.06,9.98,10.90,11.81,12.73,,,,,,
15,0.71,1.51,2.45,3.38,4.31,5.23,6.16,7.08,8.00,8.92,9.84,10.75,11.67,12.59,13.50,,,,,
16,0.57,1.37,2.31,3.24,4.17,5.09,6.01,6.94,7.86,8.77,9.69,10.61,11.53,12.44,13.36,14.27,,,,
17,0.43,1.22,2.16,3.09,4.02,4.95,5.87,6.79,7.71,8.63,9.55,10.47,11.38,12.30,13.21,14.13,15.04,,,
18,0.28,1.08,2.02,2.95,3.88,4.80,5.73,6.65,7.57,8.49,9.40,10.32,11.24,12.15,13.07,13.98,14.90,15.81,,
19,0.14,0.94,1.87,2.80,3.73,4.66,5.58,6.50,7.42,8.34,9.26,10.17,11.09,12.01,12.92,13.84,14.75,15.66,16.58,
20,0.00,0.75,1.65,2.55,3.45,4.35,5.25,6.15,7.05,7.95,8.85,9.75,10.65,11.55,12.45,13.35,14.25,15.15,16.05,16.95
