i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.98,,,,,,,,,,,,,,,,,,
2,2.98,4.72,,,,,,,,,,,,,,,,,
3,2.98,4.72,6.35,,,,,,,,,,,,,,,,
4,2.98,4.72,6.35,7.88,,,,,,,,,,,,,,,
5,2.98,4.72,6.35,7.88,9.34,,,,,,,,,,,,,,
6,2.98,4.72,6.35,7.88,9.34,10.74,,,,,,,,,,,,,
7,2.98,4.72,6.35,7.88,9.34,10.74,12.11,,,,,,,,,,,,
8,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,,,,,,,,,,,
9,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,,,,,,,,,,
10,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,,,,,,,,,
11,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,,,,,,,,
12,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,18.62,,,,,,,
13,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,18.62,19.88,,,,,,
14,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,18.62,19.88,21.13,,,,,
15,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,18.62,19.88,21.13,22.36,,,,
16,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,18.62,19.88,21.13,22.36,23.59,,,
17,2.98,4.72,6.35,7.88,9.34,10.74,12.11,13.46,14.77,16.07,17.36,18.62,19.88,21.13,22.36,23.59,24.81,,
18,2.99,4.73,6.36,7.88,9.35,10.75,12.12,13.46,14.78,16.08,17.36,18.63,19.88,21.13,22.37,23.60,24.82,26.03,
19,2.72,4.56,6.20,7.71,9.15,10.54,11.90,13.23,14.54,15.83,17.10,18.36,19.61,20.85,22.08,23.31,24.52,25.73,26.93
