i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,4.45,,,,,,,,,,,,,,,,,,
2,4.45,6.13,,,,,,,,,,,,,,,,,
3,4.45,6.13,7.69,,,,,,,,,,,,,,,,
4,4.45,6.13,7.69,9.16,,,,,,,,,,,,,,,
5,4.45,6.13,7.69,9.16,10.58,,,,,,,,,,,,,,
6,4.45,6.13,7.69,9.16,10.58,11.96,,,,,,,,,,,,,
7,4.45,6.13,7.69,9.16,10.58,11.96,13.31,,,,,,,,,,,,
8,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,,,,,,,,,,,
9,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,,,,,,,,,,
10,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,,,,,,,,,
11,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,,,,,,,,
12,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,19.78,,,,,,,
13,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,19.78,21.04,,,,,,
14,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,19.78,21.04,22.28,,,,,
15,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,19.78,21.04,22.28,23.51,,,,
16,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,19.78,21.04,22.28,23.51,24.74,,,
17,4.45,6.13,7.69,9.16,10.58,11.96,13.31,14.64,15.95,17.24,18.52,19.78,21.04,22.28,23.51,24.74,25.96,,
18,4.45,6.15,7.70,9.17,10.59,11.97,13.32,14.65,15.95,17.25,18.52,19.79,21.04,22.28,23.52,24.75,25.97,27.18,
19,4.44,6.03,7.53,8.97,10.37,11.73,13.07,14.39,15.69,16.97,18.24,19.50,20.74,21.98,23.21,24.43,25.65,26.86,28.06
