i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.27,,,,,,,,,,,,,,,,,,,
2,5.94,7.06,,,,,,,,,,,,,,,,,,
3,5.61,6.73,7.72,,,,,,,,,,,,,,,,,
4,5.28,6.40,7.39,8.36,,,,,,,,,,,,,,,,
5,4.95,6.07,7.06,8.03,8.99,,,,,,,,,,,,,,,
6,4.62,5.74,6.73,7.70,8.66,9.61,,,,,,,,,,,,,,
7,4.29,5.42,6.40,7.37,8.33,9.28,10.23,,,,,,,,,,,,,
8,3.96,5.09,6.07,7.04,8.00,8.95,9.90,10.85,,,,,,,,,,,,
9,3.63,4.76,5.74,6.71,7.67,8.62,9.57,10.52,11.46,,,,,,,,,,,
10,3.31,4.43,5.41,6.38,7.34,8.29,9.24,10.19,11.13,12.07,,,,,,,,,,
11,2.98,4.10,5.08,6.05,7.01,7.97,8.91,9.86,10.80,11.74,12.68,,,,,,,,,
12,2.65,3.77,4.75,5.72,6.68,7.64,8.58,9.53,10.47,11.41,12.35,13.28,,,,,,,,
13,2.32,3.44,4.42,5.39,6.35,7.31,8.26,9.20,10.14,11.08,12.02,12.95,13.89,,,,,,,
14,1.99,3.11,4.10,5.06,6.02,6.98,7.93,8.87,9.81,10.75,11.69,12.62,13.56,14.49,,,,,,
15,1.66,2.78,3.77,4.74,5.69,6.65,7.60,8.54,9.48,10.42,11.36,12.30,13.23,14.16,15.09,,,,,
16,1.33,2.45,3.44,4.41,5.37,6.32,7.27,8.21,9.15,10.09,11.03,11.97,12.90,13.83,14.76,15.69,,,,
17,1.00,2.12,3.11,4.08,5.04,5.99,6.94,7.88,8.82,9.76,10.70,11.64,12.57,13.50,14.43,15.37,16.29,,,
18,0.67,1.79,2.78,3.75,4.71,5.66,6.61,7.55,8.50,9.43,10.37,11.31,12.24,13.17,14.11,15.04,15.97,16.89,,
19,0.35,1.47,2.45,3.42,4.38,5.33,6.28,7.22,8.16,9.10,10.04,10.97,11.91,12.84,13.77,14.70,15.63,16.56,17.48,
20,0.00,1.01,1.91,2.81,3.71,4.61,5.51,6.41,7.31,8.21,9.11,10.01,10.91,11.81,12.71,13.61,14.51,15.41,16.31,17.21
