i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,6.86,,,,,,,,,,,,,,,,,,,
2,6.51,8.44,,,,,,,,,,,,,,,,,,
3,6.15,8.09,9.06,,,,,,,,,,,,,,,,,
4,5.80,7.73,8.71,9.67,,,,,,,,,,,,,,,,
5,5.45,7.38,8.35,9.32,10.27,,,,,,,,,,,,,,,
6,5.10,7.03,8.00,8.96,9.92,10.87,,,,,,,,,,,,,,
7,4.74,6.67,7.65,8.61,9.57,10.52,11.47,,,,,,,,,,,,,
8,4.39,6.32,7.29,8.26,9.22,10.17,11.12,12.06,,,,,,,,,,,,
9,4.04,5.97,6.94,7.91,8.86,9.81,10.76,11.71,12.65,,,,,,,,,,,
10,3.68,5.61,6.59,7.55,8.51,9.46,10.41,11.35,12.30,13.24,,,,,,,,,,
11,3.33,5.26,6.24,7.20,8.16,9.11,10.06,11.00,11.94,12.88,13.82,,,,,,,,,
12,2.98,4.91,5.88,6.85,7.80,8.76,9.70,10.65,11.59,12.53,13.47,14.40,,,,,,,,
13,2.62,4.56,5.53,6.49,7.45,8.40,9.35,10.29,11.24,12.18,13.11,14.05,14.99,,,,,,,
14,2.27,4.20,5.18,6.14,7.10,8.05,9.00,9.94,10.88,11.82,12.76,13.70,14.63,15.57,,,,,,
15,1.92,3.85,4.82,5.79,6.74,7.70,8.64,9.59,10.53,11.47,12.41,13.34,14.28,15.21,16.15,,,,,
16,1.56,3.50,4.47,5.43,6.39,7.34,8.29,9.24,10.18,11.12,12.06,12.99,13.93,14.86,15.79,16.72,,,,
17,1.21,3.14,4.12,5.08,6.04,6.99,7.94,8.88,9.82,10.76,11.70,12.64,13.57,14.51,15.44,16.37,17.30,,,
18,0.86,2.79,3.76,4.73,5.68,6.64,7.58,8.53,9.47,10.41,11.35,12.29,13.22,14.15,15.09,16.02,16.95,17.88,,
19,0.53,2.45,3.42,4.38,5.33,6.28,7.23,8.17,9.11,10.05,10.99,11.93,12.86,13.79,14.73,15.66,16.59,17.52,18.44,
20,0.00,1.84,2.74,3.64,4.54,5.44,6.34,7.24,8.14,9.04,9.94,10.84,11.74,12.64,13.54,14.44,15.34,16.24,17.14,18.04
