i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,3.18,,,,,,,,,,,,,,,,,,
2,3.18,4.86,,,,,,,,,,,,,,,,,
3,3.18,4.86,6.39,,,,,,,,,,,,,,,,
4,3.18,4.86,6.39,7.84,,,,,,,,,,,,,,,
5,3.18,4.86,6.39,7.84,9.23,,,,,,,,,,,,,,
6,3.18,4.86,6.39,7.84,9.23,10.58,,,,,,,,,,,,,
7,3.18,4.86,6.39,7.84,9.23,10.58,11.90,,,,,,,,,,,,
8,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,,,,,,,,,,,
9,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,,,,,,,,,,
10,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,,,,,,,,,
11,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,,,,,,,,
12,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,,,,,,,
13,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,19.46,,,,,,
14,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,19.46,20.68,,,,,
15,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,19.46,20.68,21.89,,,,
16,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,19.46,20.68,21.89,23.09,,,
17,3.18,4.86,6.39,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,19.46,20.68,21.89,23.09,24.29,,
18,3.18,4.87,6.40,7.84,9.23,10.58,11.90,13.20,14.48,15.74,16.99,18.23,19.46,20.68,21.89,23.10,24.30,25.49,
19,3.11,4.76,6.26,7.69,9.06,10.40,11.72,13.01,14.28,15.53,16.78,18.01,19.24,20.45,21.66,22.86,24.05,25.24,26.42
