i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.60,,,,,,,,,,,,,,,,,,,
2,10.04,10.90,,,,,,,,,,,,,,,,,,
3,9.48,10.34,11.05,,,,,,,,,,,,,,,,,
4,8.91,9.78,10.48,11.16,,,,,,,,,,,,,,,,
5,8.35,9.21,9.92,10.60,11.26,,,,,,,,,,,,,,,
6,7.78,8.65,9.35,10.03,10.69,11.34,,,,,,,,,,,,,,
7,7.22,8.08,8.79,9.47,10.13,10.77,11.41,,,,,,,,,,,,,
8,6.66,7.52,8.23,8.91,9.57,10.21,10.84,11.47,,,,,,,,,,,,
9,6.09,6.96,7.66,8.34,9.00,9.65,10.28,10.90,11.52,,,,,,,,,,,
10,5.53,6.39,7.10,7.78,8.44,9.08,9.72,10.34,10.95,11.56,,,,,,,,,,
11,4.96,5.83,6.53,7.21,7.87,8.52,9.15,9.77,10.39,11.00,11.60,,,,,,,,,
12,4.40,5.27,5.97,6.65,7.31,7.96,8.59,9.21,9.82,10.43,11.03,11.63,,,,,,,,
13,3.84,4.70,5.41,6.09,6.75,7.39,8.02,8.65,9.26,9.87,10.47,11.07,11.66,,,,,,,
14,3.27,4.14,4.84,5.52,6.18,6.83,7.46,8.08,8.70,9.30,9.91,10.50,11.10,11.68,,,,,,
15,2.71,3.57,4.28,4.96,5.62,6.26,6.90,7.52,8.13,8.74,9.34,9.94,10.53,11.12,11.71,,,,,
16,2.14,3.01,3.72,4.39,5.05,5.70,6.33,6.95,7.57,8.18,8.78,9.37,9.97,10.56,11.14,11.72,,,,
17,1.58,2.44,3.15,3.83,4.49,5.13,5.76,6.39,7.00,7.61,8.21,8.81,9.40,9.99,10.57,11.16,11.73,,,
18,1.02,1.88,2.58,3.26,3.91,4.56,5.19,5.81,6.42,7.03,7.63,8.22,8.81,9.40,9.98,10.57,11.14,11.72,,
19,0.45,1.27,1.95,2.61,3.25,3.88,4.50,5.10,5.70,6.30,6.89,7.48,8.06,8.64,9.21,9.79,10.36,10.93,11.49,
20,0.00,0.59,1.09,1.59,2.09,2.59,3.09,3.59,4.09,4.59,5.09,5.59,6.09,6.59,7.09,7.59,8.09,8.59,9.09,9.59
