i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.85,,,,,,,,,,,,,,,,,,,
2,10.28,11.36,,,,,,,,,,,,,,,,,,
3,9.72,10.80,11.49,,,,,,,,,,,,,,,,,
4,9.15,10.23,10.92,11.59,,,,,,,,,,,,,,,,
5,8.59,9.67,10.36,11.03,11.67,,,,,,,,,,,,,,,
6,8.03,9.11,9.80,10.46,11.11,11.74,,,,,,,,,,,,,,
7,7.46,8.54,9.23,9.90,10.54,11.18,11.80,,,,,,,,,,,,,
8,6.90,7.98,8.67,9.33,9.98,10.61,11.24,11.85,,,,,,,,,,,,
9,6.33,7.42,8.10,8.77,9.42,10.05,10.67,11.29,11.90,,,,,,,,,,,
10,5.77,6.85,7.54,8.21,8.85,9.49,10.11,10.72,11.33,11.93,,,,,,,,,,
11,5.21,6.29,6.98,7.64,8.29,8.92,9.54,10.16,10.77,11.37,11.97,,,,,,,,,
12,4.64,5.72,6.41,7.08,7.72,8.36,8.98,9.60,10.20,10.81,11.40,12.00,,,,,,,,
13,4.08,5.16,5.85,6.51,7.16,7.79,8.42,9.03,9.64,10.24,10.84,11.43,12.02,,,,,,,
14,3.51,4.60,5.29,5.95,6.60,7.23,7.85,8.47,9.08,9.68,10.27,10.87,11.46,12.04,,,,,,
15,2.95,4.03,4.72,5.39,6.03,6.67,7.29,7.90,8.51,9.11,9.71,10.30,10.89,11.48,12.06,,,,,
16,2.39,3.47,4.16,4.82,5.47,6.10,6.72,7.34,7.95,8.55,9.15,9.74,10.33,10.91,11.50,12.07,,,,
17,1.82,2.90,3.59,4.26,4.90,5.54,6.16,6.77,7.38,7.98,8.58,9.17,9.76,10.35,10.93,11.51,12.08,,,
18,1.26,2.33,3.02,3.68,4.32,4.96,5.58,6.19,6.80,7.40,7.99,8.58,9.17,9.76,10.34,10.92,11.49,12.07,,
19,0.67,1.72,2.38,3.02,3.65,4.27,4.88,5.48,6.07,6.66,7.25,7.83,8.41,8.99,9.56,10.13,10.70,11.27,11.83,
20,0.00,0.87,1.37,1.87,2.37,2.87,3.37,3.87,4.37,4.87,5.37,5.87,6.37,6.87,7.37,7.87,8.37,8.87,9.37,9.87
