i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.79,,,,,,,,,,,,,,,,,,,
2,10.23,11.20,,,,,,,,,,,,,,,,,,
3,9.67,10.64,11.33,,,,,,,,,,,,,,,,,
4,9.10,10.07,10.77,11.44,,,,,,,,,,,,,,,,
5,8.54,9.51,10.21,10.88,11.53,,,,,,,,,,,,,,,
6,7.97,8.95,9.64,10.31,10.96,11.60,,,,,,,,,,,,,,
7,7.41,8.38,9.08,9.75,10.40,11.04,11.66,,,,,,,,,,,,,
8,6.85,7.82,8.51,9.18,9.84,10.47,11.10,11.72,,,,,,,,,,,,
9,6.28,7.26,7.95,8.62,9.27,9.91,10.53,11.15,11.76,,,,,,,,,,,
10,5.72,6.69,7.39,8.06,8.71,9.34,9.97,10.59,11.20,11.80,,,,,,,,,,
11,5.15,6.13,6.82,7.49,8.14,8.78,9.41,10.02,10.63,11.24,11.84,,,,,,,,,
12,4.59,5.56,6.26,6.93,7.58,8.22,8.84,9.46,10.07,10.67,11.27,11.87,,,,,,,,
13,4.03,5.00,5.70,6.36,7.02,7.65,8.28,8.90,9.51,10.11,10.71,11.30,11.89,,,,,,,
14,3.46,4.44,5.13,5.80,6.45,7.09,7.72,8.33,8.94,9.55,10.14,10.74,11.33,11.92,,,,,,
15,2.90,3.87,4.57,5.24,5.89,6.53,7.15,7.77,8.38,8.98,9.58,10.17,10.76,11.35,11.93,,,,,
16,2.33,3.31,4.00,4.67,5.32,5.96,6.59,7.20,7.81,8.42,9.02,9.61,10.20,10.79,11.37,11.95,,,,
17,1.77,2.74,3.44,4.11,4.76,5.39,6.02,6.64,7.25,7.85,8.45,9.04,9.63,10.22,10.80,11.38,11.96,,,
18,1.21,2.18,2.87,3.53,4.18,4.82,5.44,6.06,6.66,7.27,7.86,8.46,9.05,9.63,10.21,10.79,11.37,11.94,,
19,0.59,1.56,2.23,2.88,3.51,4.13,4.74,5.35,5.94,6.53,7.12,7.71,8.29,8.86,9.44,10.01,10.58,11.15,11.71,
20,0.00,0.76,1.26,1.76,2.26,2.76,3.26,3.76,4.26,4.76,5.26,5.76,6.26,6.76,7.26,7.76,8.26,8.76,9.26,9.76
