i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.83,,,,,,,,,,,,,,,,,,,
2,10.27,11.33,,,,,,,,,,,,,,,,,,
3,9.71,10.77,11.46,,,,,,,,,,,,,,,,,
4,9.14,10.20,10.89,11.56,,,,,,,,,,,,,,,,
5,8.58,9.64,10.33,10.99,11.64,,,,,,,,,,,,,,,
6,8.01,9.07,9.77,10.43,11.08,11.71,,,,,,,,,,,,,,
7,7.45,8.51,9.20,9.87,10.51,11.15,11.77,,,,,,,,,,,,,
8,6.89,7.95,8.64,9.30,9.95,10.58,11.21,11.82,,,,,,,,,,,,
9,6.32,7.38,8.07,8.74,9.39,10.02,10.64,11.26,11.87,,,,,,,,,,,
10,5.76,6.82,7.51,8.18,8.82,9.46,10.08,10.70,11.30,11.91,,,,,,,,,,
11,5.19,6.25,6.95,7.61,8.26,8.89,9.52,10.13,10.74,11.34,11.94,,,,,,,,,
12,4.63,5.69,6.38,7.05,7.69,8.33,8.95,9.57,10.18,10.78,11.38,11.97,,,,,,,,
13,4.07,5.13,5.82,6.48,7.13,7.77,8.39,9.00,9.61,10.21,10.81,11.40,11.99,,,,,,,
14,3.50,4.56,5.25,5.92,6.57,7.20,7.82,8.44,9.05,9.65,10.25,10.84,11.43,12.02,,,,,,
15,2.94,4.00,4.69,5.36,6.00,6.64,7.26,7.88,8.48,9.09,9.68,10.28,10.87,11.45,12.03,,,,,
16,2.37,3.43,4.13,4.79,5.44,6.07,6.70,7.31,7.92,8.52,9.12,9.71,10.30,10.89,11.47,12.05,,,,
17,1.81,2.87,3.56,4.23,4.87,5.51,6.13,6.74,7.35,7.96,8.55,9.15,9.73,10.32,10.90,11.48,12.06,,,
18,1.25,2.30,2.99,3.65,4.30,4.93,5.55,6.16,6.77,7.37,7.97,8.56,9.15,9.73,10.31,10.89,11.47,12.04,,
19,0.65,1.69,2.35,3.00,3.62,4.24,4.85,5.45,6.05,6.64,7.22,7.81,8.39,8.96,9.54,10.11,10.68,11.24,11.81,
20,0.00,0.85,1.35,1.85,2.35,2.85,3.35,3.85,4.35,4.85,5.35,5.85,6.35,6.85,7.35,7.85,8.35,8.85,9.35,9.85
