i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.62,,,,,,,,,,,,,,,,,,,
2,10.06,10.94,,,,,,,,,,,,,,,,,,
3,9.50,10.37,11.08,,,,,,,,,,,,,,,,,
4,8.93,9.81,10.51,11.19,,,,,,,,,,,,,,,,
5,8.37,9.24,9.95,10.63,11.29,,,,,,,,,,,,,,,
6,7.80,8.68,9.38,10.06,10.72,11.37,,,,,,,,,,,,,,
7,7.24,8.12,8.82,9.50,10.16,10.80,11.43,,,,,,,,,,,,,
8,6.68,7.55,8.26,8.93,9.59,10.24,10.87,11.49,,,,,,,,,,,,
9,6.11,6.99,7.69,8.37,9.03,9.67,10.31,10.93,11.54,,,,,,,,,,,
10,5.55,6.42,7.13,7.81,8.47,9.11,9.74,10.36,10.98,11.58,,,,,,,,,,
11,4.99,5.86,6.56,7.24,7.90,8.55,9.18,9.80,10.41,11.02,11.62,,,,,,,,,
12,4.42,5.30,6.00,6.68,7.34,7.98,8.61,9.24,9.85,10.46,11.06,11.65,,,,,,,,
13,3.86,4.73,5.44,6.11,6.77,7.42,8.05,8.67,9.29,9.89,10.49,11.09,11.68,,,,,,,
14,3.29,4.17,4.87,5.55,6.21,6.85,7.49,8.11,8.72,9.33,9.93,10.53,11.12,11.71,,,,,,
15,2.73,3.60,4.31,4.99,5.65,6.29,6.92,7.54,8.16,8.76,9.37,9.96,10.55,11.14,11.73,,,,,
16,2.17,3.04,3.74,4.42,5.08,5.73,6.36,6.98,7.59,8.20,8.80,9.40,9.99,10.58,11.16,11.75,,,,
17,1.60,2.48,3.18,3.86,4.52,5.16,5.79,6.41,7.03,7.63,8.23,8.83,9.42,10.01,10.60,11.18,11.76,,,
18,1.04,1.91,2.61,3.28,3.94,4.58,5.21,5.83,6.44,7.05,7.65,8.25,8.84,9.42,10.01,10.59,11.17,11.74,,
19,0.47,1.30,1.98,2.64,3.28,3.90,4.52,5.13,5.73,6.32,6.91,7.50,8.08,8.66,9.24,9.81,10.38,10.95,11.52,
20,0.00,0.60,1.10,1.60,2.10,2.60,3.10,3.60,4.10,4.60,5.10,5.60,6.10,6.60,7.10,7.60,8.10,8.60,9.10,9.60
