i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.91,,,,,,,,,,,,,,,,,,,
2,10.35,11.57,,,,,,,,,,,,,,,,,,
3,9.79,11.01,11.69,,,,,,,,,,,,,,,,,
4,9.22,10.44,11.13,11.78,,,,,,,,,,,,,,,,
5,8.66,9.88,10.56,11.22,11.86,,,,,,,,,,,,,,,
6,8.09,9.32,10.00,10.66,11.30,11.93,,,,,,,,,,,,,,
7,7.53,8.75,9.43,10.09,10.73,11.36,11.98,,,,,,,,,,,,,
8,6.97,8.19,8.87,9.53,10.17,10.80,11.42,12.03,,,,,,,,,,,,
9,6.40,7.62,8.31,8.96,9.61,10.24,10.86,11.47,12.07,,,,,,,,,,,
10,5.84,7.06,7.74,8.40,9.04,9.67,10.29,10.90,11.51,12.11,,,,,,,,,,
11,5.27,6.50,7.18,7.84,8.48,9.11,9.73,10.34,10.95,11.55,12.14,,,,,,,,,
12,4.71,5.93,6.61,7.27,7.91,8.54,9.16,9.78,10.38,10.98,11.58,12.17,,,,,,,,
13,4.15,5.37,6.05,6.71,7.35,7.98,8.60,9.21,9.82,10.42,11.01,11.60,12.19,,,,,,,
14,3.58,4.81,5.49,6.15,6.79,7.42,8.04,8.65,9.25,9.85,10.45,11.04,11.63,12.21,,,,,,
15,3.02,4.24,4.92,5.58,6.22,6.85,7.47,8.08,8.69,9.29,9.88,10.48,11.06,11.65,12.23,,,,,
16,2.45,3.68,4.36,5.02,5.66,6.29,6.91,7.52,8.13,8.73,9.32,9.91,10.50,11.08,11.66,12.24,,,,
17,1.89,3.11,3.79,4.45,5.09,5.72,6.34,6.95,7.56,8.16,8.75,9.34,9.93,10.52,11.10,11.68,12.25,,,
18,1.33,2.54,3.22,3.88,4.51,5.14,5.76,6.37,6.97,7.57,8.17,8.76,9.34,9.93,10.51,11.08,11.66,12.23,,
19,0.75,1.93,2.58,3.22,3.84,4.45,5.06,5.65,6.25,6.84,7.42,8.00,8.58,9.15,9.73,10.30,10.87,11.43,12.00,
20,0.00,1.01,1.51,2.01,2.51,3.01,3.51,4.01,4.51,5.01,5.51,6.01,6.51,7.01,7.51,8.01,8.51,9.01,9.51,10.01
