i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.86,,,,,,,,,,,,,,,,,,,
2,10.29,11.40,,,,,,,,,,,,,,,,,,
3,9.73,10.84,11.53,,,,,,,,,,,,,,,,,
4,9.17,10.27,10.96,11.62,,,,,,,,,,,,,,,,
5,8.60,9.71,10.40,11.06,11.71,,,,,,,,,,,,,,,
6,8.04,9.15,9.83,10.50,11.14,11.77,,,,,,,,,,,,,,
7,7.47,8.58,9.27,9.93,10.58,11.21,11.83,,,,,,,,,,,,,
8,6.91,8.02,8.71,9.37,10.01,10.65,11.27,11.88,,,,,,,,,,,,
9,6.35,7.45,8.14,8.80,9.45,10.08,10.71,11.32,11.93,,,,,,,,,,,
10,5.78,6.89,7.58,8.24,8.89,9.52,10.14,10.76,11.36,11.96,,,,,,,,,,
11,5.22,6.33,7.01,7.68,8.32,8.96,9.58,10.19,10.80,11.40,12.00,,,,,,,,,
12,4.65,5.76,6.45,7.11,7.76,8.39,9.01,9.63,10.24,10.84,11.43,12.03,,,,,,,,
13,4.09,5.20,5.89,6.55,7.19,7.83,8.45,9.06,9.67,10.27,10.87,11.46,12.05,,,,,,,
14,3.53,4.63,5.32,5.98,6.63,7.26,7.89,8.50,9.11,9.71,10.31,10.90,11.49,12.07,,,,,,
15,2.96,4.07,4.76,5.42,6.07,6.70,7.32,7.94,8.54,9.15,9.74,10.33,10.92,11.51,12.09,,,,,
16,2.40,3.51,4.19,4.86,5.50,6.14,6.76,7.37,7.98,8.58,9.18,9.77,10.36,10.94,11.53,12.10,,,,
17,1.83,2.94,3.63,4.29,4.94,5.57,6.19,6.80,7.41,8.01,8.61,9.20,9.79,10.38,10.96,11.54,12.11,,,
18,1.27,2.37,3.06,3.72,4.36,4.99,5.61,6.22,6.83,7.43,8.02,8.62,9.20,9.79,10.37,10.95,11.52,12.10,,
19,0.68,1.76,2.42,3.06,3.69,4.30,4.91,5.51,6.10,6.69,7.28,7.86,8.44,9.02,9.59,10.16,10.73,11.30,11.86,
20,0.00,0.89,1.39,1.89,2.39,2.89,3.39,3.89,4.39,4.89,5.39,5.89,6.39,6.89,7.39,7.89,8.39,8.89,9.39,9.89
