i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.86,,,,,,,,,,,,,,,,,,,
2,10.29,11.39,,,,,,,,,,,,,,,,,,
3,9.73,10.83,11.52,,,,,,,,,,,,,,,,,
4,9.16,10.27,10.95,11.62,,,,,,,,,,,,,,,,
5,8.60,9.70,10.39,11.05,11.70,,,,,,,,,,,,,,,
6,8.04,9.14,9.83,10.49,11.14,11.77,,,,,,,,,,,,,,
7,7.47,8.57,9.26,9.93,10.57,11.21,11.83,,,,,,,,,,,,,
8,6.91,8.01,8.70,9.36,10.01,10.64,11.26,11.88,,,,,,,,,,,,
9,6.34,7.45,8.14,8.80,9.44,10.08,10.70,11.31,11.92,,,,,,,,,,,
10,5.78,6.88,7.57,8.23,8.88,9.51,10.14,10.75,11.36,11.96,,,,,,,,,,
11,5.22,6.32,7.01,7.67,8.32,8.95,9.57,10.19,10.79,11.40,11.99,,,,,,,,,
12,4.65,5.75,6.44,7.11,7.75,8.39,9.01,9.62,10.23,10.83,11.43,12.02,,,,,,,,
13,4.09,5.19,5.88,6.54,7.19,7.82,8.44,9.06,9.67,10.27,10.86,11.46,12.05,,,,,,,
14,3.52,4.63,5.32,5.98,6.62,7.26,7.88,8.49,9.10,9.70,10.30,10.89,11.48,12.07,,,,,,
15,2.96,4.06,4.75,5.41,6.06,6.69,7.32,7.93,8.54,9.14,9.74,10.33,10.92,11.50,12.08,,,,,
16,2.40,3.50,4.19,4.85,5.50,6.13,6.75,7.37,7.97,8.58,9.17,9.76,10.35,10.94,11.52,12.10,,,,
17,1.83,2.93,3.62,4.28,4.93,5.56,6.19,6.80,7.41,8.01,8.60,9.20,9.79,10.37,10.95,11.53,12.11,,,
18,1.27,2.36,3.05,3.71,4.35,4.98,5.60,6.22,6.82,7.42,8.02,8.61,9.20,9.78,10.36,10.94,11.52,12.09,,
19,0.68,1.76,2.41,3.05,3.68,4.30,4.90,5.50,6.10,6.69,7.27,7.86,8.44,9.01,9.59,10.16,10.73,11.29,11.86,
20,0.00,0.89,1.39,1.89,2.39,2.89,3.39,3.89,4.39,4.89,5.39,5.89,6.39,6.89,7.39,7.89,8.39,8.89,9.39,9.89
