i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.84,,,,,,,,,,,,,,,,,,,
2,10.28,11.34,,,,,,,,,,,,,,,,,,
3,9.71,10.78,11.47,,,,,,,,,,,,,,,,,
4,9.15,10.22,10.91,11.57,,,,,,,,,,,,,,,,
5,8.58,9.65,10.34,11.01,11.66,,,,,,,,,,,,,,,
6,8.02,9.09,9.78,10.44,11.09,11.73,,,,,,,,,,,,,,
7,7.46,8.53,9.22,9.88,10.53,11.16,11.79,,,,,,,,,,,,,
8,6.89,7.96,8.65,9.32,9.96,10.60,11.22,11.84,,,,,,,,,,,,
9,6.33,7.40,8.09,8.75,9.40,10.03,10.66,11.27,11.88,,,,,,,,,,,
10,5.76,6.83,7.52,8.19,8.84,9.47,10.09,10.71,11.32,11.92,,,,,,,,,,
11,5.20,6.27,6.96,7.62,8.27,8.91,9.53,10.14,10.75,11.35,11.95,,,,,,,,,
12,4.64,5.71,6.40,7.06,7.71,8.34,8.97,9.58,10.19,10.79,11.39,11.98,,,,,,,,
13,4.07,5.14,5.83,6.50,7.14,7.78,8.40,9.02,9.62,10.23,10.82,11.42,12.01,,,,,,,
14,3.51,4.58,5.27,5.93,6.58,7.21,7.84,8.45,9.06,9.66,10.26,10.85,11.44,12.03,,,,,,
15,2.94,4.01,4.70,5.37,6.02,6.65,7.27,7.89,8.50,9.10,9.70,10.29,10.88,11.46,12.05,,,,,
16,2.38,3.45,4.14,4.80,5.45,6.09,6.71,7.32,7.93,8.53,9.13,9.72,10.31,10.90,11.48,12.06,,,,
17,1.82,2.88,3.57,4.24,4.89,5.52,6.14,6.76,7.37,7.97,8.56,9.16,9.75,10.33,10.91,11.49,12.07,,,
18,1.26,2.32,3.00,3.66,4.31,4.94,5.56,6.18,6.78,7.38,7.98,8.57,9.16,9.74,10.32,10.90,11.48,12.05,,
19,0.66,1.71,2.37,3.01,3.64,4.25,4.86,5.46,6.06,6.65,7.23,7.82,8.40,8.97,9.55,10.12,10.69,11.25,11.82,
20,0.00,0.86,1.36,1.86,2.36,2.86,3.36,3.86,4.36,4.86,5.36,5.86,6.36,6.86,7.36,7.86,8.36,8.86,9.36,9.86
