i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.82,,,,,,,,,,,,,,,,,,,
2,10.25,11.28,,,,,,,,,,,,,,,,,,
3,9.69,10.72,11.41,,,,,,,,,,,,,,,,,
4,9.13,10.15,10.85,11.51,,,,,,,,,,,,,,,,
5,8.56,9.59,10.28,10.95,11.60,,,,,,,,,,,,,,,
6,8.00,9.03,9.72,10.39,11.03,11.67,,,,,,,,,,,,,,
7,7.43,8.46,9.15,9.82,10.47,11.11,11.73,,,,,,,,,,,,,
8,6.87,7.90,8.59,9.26,9.91,10.54,11.17,11.78,,,,,,,,,,,,
9,6.31,7.33,8.03,8.69,9.34,9.98,10.60,11.22,11.83,,,,,,,,,,,
10,5.74,6.77,7.46,8.13,8.78,9.41,10.04,10.65,11.26,11.87,,,,,,,,,,
11,5.18,6.21,6.90,7.57,8.21,8.85,9.47,10.09,10.70,11.30,11.90,,,,,,,,,
12,4.61,5.64,6.33,7.00,7.65,8.29,8.91,9.53,10.14,10.74,11.34,11.93,,,,,,,,
13,4.05,5.08,5.77,6.44,7.09,7.72,8.35,8.96,9.57,10.17,10.77,11.37,11.96,,,,,,,
14,3.49,4.51,5.21,5.87,6.52,7.16,7.78,8.40,9.01,9.61,10.21,10.80,11.39,11.98,,,,,,
15,2.92,3.95,4.64,5.31,5.96,6.59,7.22,7.83,8.44,9.05,9.64,10.24,10.83,11.41,12.00,,,,,
16,2.36,3.39,4.08,4.75,5.39,6.03,6.65,7.27,7.88,8.48,9.08,9.67,10.26,10.85,11.43,12.01,,,,
17,1.79,2.82,3.51,4.18,4.83,5.46,6.09,6.70,7.31,7.92,8.51,9.11,9.70,10.28,10.86,11.44,12.02,,,
18,1.24,2.25,2.94,3.61,4.25,4.88,5.51,6.12,6.73,7.33,7.93,8.52,9.11,9.69,10.27,10.85,11.43,12.00,,
19,0.63,1.64,2.31,2.95,3.58,4.20,4.81,5.41,6.01,6.60,7.18,7.77,8.35,8.92,9.50,10.07,10.64,11.21,11.77,
20,0.00,0.81,1.31,1.81,2.31,2.81,3.31,3.81,4.31,4.81,5.31,5.81,6.31,6.81,7.31,7.81,8.31,8.81,9.31,9.81
