i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.52,,,,,,,,,,,,,,,,,,,
2,9.95,10.77,,,,,,,,,,,,,,,,,,
3,9.39,10.20,10.93,,,,,,,,,,,,,,,,,
4,8.82,9.64,10.36,11.05,,,,,,,,,,,,,,,,
5,8.26,9.08,9.80,10.48,11.15,,,,,,,,,,,,,,,
6,7.70,8.51,9.24,9.92,10.58,11.23,,,,,,,,,,,,,,
7,7.13,7.95,8.67,9.35,10.02,10.67,11.30,,,,,,,,,,,,,
8,6.57,7.38,8.11,8.79,9.45,10.10,10.74,11.36,,,,,,,,,,,,
9,6.00,6.82,7.54,8.23,8.89,9.54,10.17,10.80,11.42,,,,,,,,,,,
10,5.44,6.26,6.98,7.66,8.33,8.97,9.61,10.23,10.85,11.46,,,,,,,,,,
11,4.88,5.69,6.42,7.10,7.76,8.41,9.05,9.67,10.29,10.90,11.50,,,,,,,,,
12,4.31,5.13,5.85,6.54,7.20,7.85,8.48,9.11,9.72,10.33,10.94,11.53,,,,,,,,
13,3.75,4.56,5.29,5.97,6.63,7.28,7.92,8.54,9.16,9.77,10.37,10.97,11.56,,,,,,,
14,3.18,4.00,4.72,5.41,6.07,6.72,7.35,7.98,8.60,9.21,9.81,10.41,11.00,11.59,,,,,,
15,2.62,3.44,4.16,4.84,5.51,6.15,6.79,7.42,8.03,8.64,9.24,9.84,10.44,11.03,11.61,,,,,
16,2.06,2.87,3.60,4.28,4.94,5.59,6.23,6.85,7.47,8.08,8.68,9.28,9.87,10.46,11.05,11.63,,,,
17,1.49,2.31,3.03,3.71,4.38,5.02,5.66,6.28,6.90,7.51,8.11,8.71,9.30,9.89,10.48,11.06,11.64,,,
18,0.93,1.74,2.46,3.14,3.80,4.45,5.08,5.70,6.32,6.93,7.53,8.13,8.72,9.31,9.89,10.47,11.05,11.63,,
19,0.39,1.15,1.84,2.50,3.15,3.78,4.39,5.00,5.61,6.20,6.80,7.38,7.97,8.55,9.12,9.70,10.27,10.84,11.41,
20,0.00,0.52,1.02,1.52,2.02,2.52,3.02,3.52,4.02,4.52,5.02,5.52,6.02,6.52,7.02,7.52,8.02,8.52,9.02,9.52
