i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.07,,,,,,,,,,,,,,,,,,
2,1.07,2.16,,,,,,,,,,,,,,,,,
3,1.07,2.16,3.15,,,,,,,,,,,,,,,,
4,1.07,2.16,3.15,4.18,,,,,,,,,,,,,,,
5,1.07,2.16,3.15,4.18,5.21,,,,,,,,,,,,,,
6,1.07,2.16,3.15,4.18,5.21,6.25,,,,,,,,,,,,,
7,1.07,2.16,3.15,4.18,5.21,6.25,7.28,,,,,,,,,,,,
8,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,,,,,,,,,,,
9,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,,,,,,,,,,
10,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,,,,,,,,,
11,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,11.41,,,,,,,,
12,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,11.41,12.44,,,,,,,
13,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,11.41,12.44,13.46,,,,,,
14,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,11.41,12.44,13.46,14.49,,,,,
15,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,11.41,12.44,13.46,14.49,15.51,,,,
16,1.07,2.16,3.15,4.18,5.21,6.25,7.28,8.32,9.35,10.38,11.41,12.44,13.46,14.49,15.51,16.53,,,
17,1.06,2.15,3.14,4.17,5.20,6.24,7.27,8.31,9.34,10.37,11.40,12.42,13.45,14.47,15.50,16.52,17.54,,
18,1.01,2.10,3.07,4.09,5.11,6.14,7.17,8.20,9.23,10.26,11.28,12.31,13.33,14.35,15.37,16.39,17.41,18.43,
19,0.71,1.63,2.58,3.54,4.52,5.51,6.50,7.49,8.48,9.48,10.48,11.47,12.47,13.47,14.47,15.47,16.47,17.47,18.47
