i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.83,,,,,,,,,,,,,,,,,,,
2,10.27,11.32,,,,,,,,,,,,,,,,,,
3,9.70,10.75,11.44,,,,,,,,,,,,,,,,,
4,9.14,10.19,10.88,11.55,,,,,,,,,,,,,,,,
5,8.57,9.62,10.32,10.98,11.63,,,,,,,,,,,,,,,
6,8.01,9.06,9.75,10.42,11.07,11.70,,,,,,,,,,,,,,
7,7.45,8.50,9.19,9.85,10.50,11.14,11.76,,,,,,,,,,,,,
8,6.88,7.93,8.62,9.29,9.94,10.57,11.20,11.81,,,,,,,,,,,,
9,6.32,7.37,8.06,8.73,9.37,10.01,10.63,11.25,11.86,,,,,,,,,,,
10,5.75,6.80,7.50,8.16,8.81,9.44,10.07,10.68,11.29,11.89,,,,,,,,,,
11,5.19,6.24,6.93,7.60,8.25,8.88,9.50,10.12,10.73,11.33,11.93,,,,,,,,,
12,4.63,5.68,6.37,7.03,7.68,8.32,8.94,9.56,10.16,10.77,11.36,11.96,,,,,,,,
13,4.06,5.11,5.80,6.47,7.12,7.75,8.38,8.99,9.60,10.20,10.80,11.39,11.98,,,,,,,
14,3.50,4.55,5.24,5.91,6.55,7.19,7.81,8.43,9.04,9.64,10.24,10.83,11.42,12.00,,,,,,
15,2.93,3.98,4.68,5.34,5.99,6.62,7.25,7.86,8.47,9.07,9.67,10.27,10.85,11.44,12.02,,,,,
16,2.37,3.42,4.11,4.78,5.43,6.06,6.68,7.30,7.91,8.51,9.11,9.70,10.29,10.88,11.46,12.04,,,,
17,1.81,2.85,3.55,4.21,4.86,5.49,6.12,6.73,7.34,7.94,8.54,9.13,9.72,10.31,10.89,11.47,12.05,,,
18,1.25,2.29,2.97,3.64,4.28,4.91,5.54,6.15,6.76,7.36,7.96,8.55,9.13,9.72,10.30,10.88,11.46,12.03,,
19,0.64,1.68,2.34,2.98,3.61,4.23,4.84,5.44,6.03,6.62,7.21,7.79,8.37,8.95,9.52,10.10,10.66,11.23,11.80,
20,0.00,0.84,1.34,1.84,2.34,2.84,3.34,3.84,4.34,4.84,5.34,5.84,6.34,6.84,7.34,7.84,8.34,8.84,9.34,9.84
