i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.46,,,,,,,,,,,,,,,,,,
2,1.46,2.35,,,,,,,,,,,,,,,,,
3,1.46,2.35,3.38,,,,,,,,,,,,,,,,
4,1.46,2.35,3.38,4.43,,,,,,,,,,,,,,,
5,1.46,2.35,3.38,4.43,5.47,,,,,,,,,,,,,,
6,1.46,2.35,3.38,4.43,5.47,6.50,,,,,,,,,,,,,
7,1.46,2.35,3.38,4.43,5.47,6.50,7.54,,,,,,,,,,,,
8,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,,,,,,,,,,,
9,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,9.61,,,,,,,,,,
10,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,9.61,10.64,,,,,,,,,
11,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,9.61,10.64,11.67,,,,,,,,
12,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,9.61,10.64,11.67,12.70,,,,,,,
13,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,9.61,10.64,11.67,12.70,13.73,,,,,,
14,1.46,2.35,3.38,4.43,5.47,6.50,7.54,8.58,9.61,10.64,11.67,12.70,13.73,14.75,,,,,
15,1.46,2.35,3.38,4.42,5.46,6.50,7.54,8.58,9.61,10.64,11.67,12.70,13.73,14.75,15.78,,,,
16,1.46,2.35,3.38,4.42,5.46,6.50,7.54,8.57,9.61,10.64,11.67,12.70,13.72,14.75,15.77,16.80,,,
17,1.46,2.34,3.38,4.41,5.45,6.49,7.53,8.56,9.60,10.63,11.66,12.68,13.71,14.74,15.76,16.78,17.81,,
18,1.41,2.28,3.29,4.32,5.36,6.39,7.42,8.45,9.48,10.51,11.53,12.56,13.58,14.60,15.63,16.65,17.67,18.69,
19,0.86,1.81,2.77,3.75,4.73,5.72,6.71,7.70,8.69,9.69,10.69,11.69,12.68,13.68,14.68,15.68,16.68,17.68,18.68
