i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.88,,,,,,,,,,,,,,,,,,,
2,10.32,11.48,,,,,,,,,,,,,,,,,,
3,9.76,10.92,11.60,,,,,,,,,,,,,,,,,
4,9.19,10.35,11.04,11.70,,,,,,,,,,,,,,,,
5,8.63,9.79,10.48,11.14,11.78,,,,,,,,,,,,,,,
6,8.07,9.23,9.91,10.57,11.22,11.85,,,,,,,,,,,,,,
7,7.50,8.66,9.35,10.01,10.65,11.28,11.90,,,,,,,,,,,,,
8,6.94,8.10,8.78,9.44,10.09,10.72,11.34,11.95,,,,,,,,,,,,
9,6.37,7.54,8.22,8.88,9.52,10.16,10.78,11.39,12.00,,,,,,,,,,,
10,5.81,6.97,7.66,8.32,8.96,9.59,10.21,10.83,11.43,12.03,,,,,,,,,,
11,5.25,6.41,7.09,7.75,8.40,9.03,9.65,10.26,10.87,11.47,12.07,,,,,,,,,
12,4.68,5.84,6.53,7.19,7.83,8.46,9.08,9.70,10.30,10.91,11.50,12.09,,,,,,,,
13,4.12,5.28,5.96,6.62,7.27,7.90,8.52,9.13,9.74,10.34,10.94,11.53,12.12,,,,,,,
14,3.55,4.72,5.40,6.06,6.70,7.34,7.96,8.57,9.18,9.78,10.37,10.97,11.55,12.14,,,,,,
15,2.99,4.15,4.84,5.50,6.14,6.77,7.39,8.01,8.61,9.21,9.81,10.40,10.99,11.57,12.16,,,,,
16,2.43,3.59,4.27,4.93,5.58,6.21,6.83,7.44,8.05,8.65,9.24,9.84,10.42,11.01,11.59,12.17,,,,
17,1.86,3.02,3.71,4.37,5.01,5.64,6.26,6.87,7.48,8.08,8.68,9.27,9.86,10.44,11.02,11.60,12.18,,,
18,1.30,2.45,3.13,3.79,4.43,5.06,5.68,6.29,6.90,7.50,8.09,8.68,9.27,9.85,10.43,11.01,11.59,12.16,,
19,0.71,1.84,2.50,3.13,3.76,4.37,4.98,5.58,6.17,6.76,7.35,7.93,8.51,9.08,9.65,10.23,10.79,11.36,11.93,
20,0.00,0.95,1.45,1.95,2.45,2.95,3.45,3.95,4.45,4.95,5.45,5.95,6.45,6.95,7.45,7.95,8.45,8.95,9.45,9.95
