i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.73,,,,,,,,,,,,,,,,,,,
2,10.17,11.10,,,,,,,,,,,,,,,,,,
3,9.60,10.53,11.23,,,,,,,,,,,,,,,,,
4,9.04,9.97,10.67,11.34,,,,,,,,,,,,,,,,
5,8.47,9.41,10.10,10.78,11.43,,,,,,,,,,,,,,,
6,7.91,8.84,9.54,10.21,10.87,11.51,,,,,,,,,,,,,,
7,7.35,8.28,8.98,9.65,10.30,10.94,11.57,,,,,,,,,,,,,
8,6.78,7.71,8.41,9.09,9.74,10.38,11.01,11.63,,,,,,,,,,,,
9,6.22,7.15,7.85,8.52,9.18,9.82,10.44,11.06,11.68,,,,,,,,,,,
10,5.65,6.59,7.29,7.96,8.61,9.25,9.88,10.50,11.11,11.72,,,,,,,,,,
11,5.09,6.02,6.72,7.39,8.05,8.69,9.32,9.94,10.55,11.15,11.75,,,,,,,,,
12,4.53,5.46,6.16,6.83,7.48,8.12,8.75,9.37,9.98,10.59,11.19,11.78,,,,,,,,
13,3.96,4.89,5.59,6.27,6.92,7.56,8.19,8.81,9.42,10.02,10.62,11.22,11.81,,,,,,,
14,3.40,4.33,5.03,5.70,6.36,7.00,7.62,8.24,8.86,9.46,10.06,10.65,11.25,11.83,,,,,,
15,2.83,3.77,4.47,5.14,5.79,6.43,7.06,7.68,8.29,8.90,9.50,10.09,10.68,11.27,11.85,,,,,
16,2.27,3.20,3.90,4.57,5.23,5.87,6.50,7.12,7.73,8.33,8.93,9.53,10.12,10.70,11.29,11.87,,,,
17,1.71,2.64,3.34,4.01,4.66,5.30,5.93,6.55,7.16,7.76,8.36,8.96,9.55,10.14,10.72,11.30,11.88,,,
18,1.15,2.07,2.77,3.43,4.09,4.72,5.35,5.97,6.58,7.18,7.78,8.37,8.96,9.55,10.13,10.71,11.29,11.86,,
19,0.55,1.46,2.13,2.79,3.42,4.04,4.65,5.26,5.86,6.45,7.04,7.62,8.20,8.78,9.36,9.93,10.50,11.07,11.63,
20,0.00,0.70,1.20,1.70,2.20,2.70,3.20,3.70,4.20,4.70,5.20,5.70,6.20,6.70,7.20,7.70,8.20,8.70,9.20,9.70
