i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9.95,,,,,,,,,,,,,,,,,,,
2,9.42,10.41,,,,,,,,,,,,,,,,,,
3,8.90,9.89,10.56,,,,,,,,,,,,,,,,,
4,8.38,9.37,10.04,10.69,,,,,,,,,,,,,,,,
5,7.86,8.85,9.52,10.17,10.80,,,,,,,,,,,,,,,
6,7.34,8.33,9.00,9.65,10.28,10.90,,,,,,,,,,,,,,
7,6.82,7.81,8.48,9.13,9.76,10.38,10.99,,,,,,,,,,,,,
8,6.30,7.29,7.96,8.61,9.24,9.86,10.47,11.07,,,,,,,,,,,,
9,5.78,6.77,7.44,8.09,8.72,9.34,9.95,10.55,11.15,,,,,,,,,,,
10,5.26,6.24,6.92,7.57,8.20,8.82,9.43,10.03,10.63,11.22,,,,,,,,,,
11,4.74,5.72,6.40,7.05,7.68,8.30,8.91,9.51,10.10,10.70,11.28,,,,,,,,,
12,4.22,5.20,5.88,6.53,7.16,7.78,8.39,8.99,9.58,10.17,10.76,11.34,,,,,,,,
13,3.70,4.68,5.36,6.01,6.64,7.26,7.87,8.47,9.06,9.65,10.24,10.82,11.40,,,,,,,
14,3.18,4.16,4.84,5.49,6.12,6.74,7.35,7.95,8.54,9.13,9.72,10.30,10.88,11.46,,,,,,
15,2.66,3.64,4.32,4.97,5.60,6.22,6.82,7.43,8.02,8.61,9.20,9.78,10.36,10.93,11.51,,,,,
16,2.14,3.12,3.80,4.44,5.08,5.69,6.30,6.91,7.50,8.09,8.68,9.26,9.84,10.41,10.99,11.56,,,,
17,1.61,2.60,3.27,3.92,4.55,5.17,5.78,6.38,6.98,7.57,8.15,8.74,9.32,9.89,10.46,11.03,11.60,,,
18,1.10,2.08,2.75,3.39,4.02,4.64,5.25,5.85,6.44,7.03,7.62,8.20,8.78,9.35,9.92,10.49,11.06,11.63,,
19,0.57,1.53,2.18,2.80,3.42,4.02,4.62,5.21,5.80,6.38,6.95,7.53,8.10,8.67,9.23,9.80,10.36,10.92,11.48,
20,0.00,0.78,1.28,1.78,2.28,2.78,3.28,3.78,4.28,4.78,5.28,5.78,6.28,6.78,7.28,7.78,8.28,8.78,9.28,9.78
