i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.16,,,,,,,,,,,,,,,,,,,
2,9.62,10.49,,,,,,,,,,,,,,,,,,
3,9.08,9.95,10.64,,,,,,,,,,,,,,,,,
4,8.55,9.42,10.10,10.77,,,,,,,,,,,,,,,,
5,8.01,8.88,9.57,10.23,10.87,,,,,,,,,,,,,,,
6,7.47,8.34,9.03,9.69,10.34,10.97,,,,,,,,,,,,,,
7,6.94,7.81,8.50,9.16,9.80,10.43,11.05,,,,,,,,,,,,,
8,6.40,7.27,7.96,8.62,9.27,9.90,10.51,11.12,,,,,,,,,,,,
9,5.86,6.73,7.42,8.08,8.73,9.36,9.98,10.59,11.19,,,,,,,,,,,
10,5.33,6.20,6.89,7.55,8.19,8.82,9.44,10.05,10.66,11.25,,,,,,,,,,
11,4.79,5.66,6.35,7.01,7.66,8.29,8.91,9.52,10.12,10.72,11.31,,,,,,,,,
12,4.26,5.13,5.81,6.48,7.12,7.75,8.37,8.98,9.58,10.18,10.77,11.36,,,,,,,,
13,3.72,4.59,5.28,5.94,6.58,7.21,7.83,8.44,9.05,9.64,10.24,10.82,11.41,,,,,,,
14,3.18,4.05,4.74,5.40,6.05,6.68,7.30,7.91,8.51,9.11,9.70,10.29,10.87,11.45,,,,,,
15,2.65,3.52,4.20,4.87,5.51,6.14,6.76,7.37,7.97,8.57,9.16,9.75,10.34,10.92,11.49,,,,,
16,2.11,2.98,3.67,4.33,4.97,5.60,6.22,6.83,7.44,8.03,8.63,9.21,9.80,10.38,10.96,11.53,,,,
17,1.57,2.44,3.13,3.79,4.44,5.07,5.68,6.29,6.90,7.50,8.09,8.68,9.26,9.84,10.42,10.99,11.57,,,
18,1.04,1.90,2.59,3.25,3.89,4.52,5.14,5.74,6.35,6.94,7.53,8.12,8.70,9.28,9.86,10.43,11.01,11.58,,
19,0.49,1.33,2.00,2.64,3.27,3.88,4.49,5.08,5.68,6.26,6.85,7.42,8.00,8.57,9.14,9.71,10.27,10.84,11.40,
20,0.00,0.64,1.14,1.64,2.14,2.64,3.14,3.64,4.14,4.64,5.14,5.64,6.14,6.64,7.14,7.64,8.14,8.64,9.14,9.64
