i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.62,,,,,,,,,,,,,,,,,,,
2,10.06,10.93,,,,,,,,,,,,,,,,,,
3,9.49,10.37,11.07,,,,,,,,,,,,,,,,,
4,8.93,9.80,10.51,11.19,,,,,,,,,,,,,,,,
5,8.37,9.24,9.94,10.62,11.28,,,,,,,,,,,,,,,
6,7.80,8.68,9.38,10.06,10.72,11.36,,,,,,,,,,,,,,
7,7.24,8.11,8.82,9.49,10.15,10.80,11.43,,,,,,,,,,,,,
8,6.67,7.55,8.25,8.93,9.59,10.23,10.87,11.49,,,,,,,,,,,,
9,6.11,6.98,7.69,8.37,9.03,9.67,10.30,10.92,11.54,,,,,,,,,,,
10,5.55,6.42,7.12,7.80,8.46,9.11,9.74,10.36,10.97,11.58,,,,,,,,,,
11,4.98,5.86,6.56,7.24,7.90,8.54,9.17,9.80,10.41,11.02,11.62,,,,,,,,,
12,4.42,5.29,6.00,6.68,7.33,7.98,8.61,9.23,9.85,10.45,11.06,11.65,,,,,,,,
13,3.85,4.73,5.43,6.11,6.77,7.41,8.05,8.67,9.28,9.89,10.49,11.09,11.68,,,,,,,
14,3.29,4.17,4.87,5.55,6.21,6.85,7.48,8.10,8.72,9.33,9.93,10.52,11.12,11.70,,,,,,
15,2.73,3.60,4.30,4.98,5.64,6.29,6.92,7.54,8.15,8.76,9.36,9.96,10.55,11.14,11.73,,,,,
16,2.16,3.04,3.74,4.42,5.08,5.72,6.35,6.98,7.59,8.20,8.80,9.40,9.99,10.58,11.16,11.74,,,,
17,1.60,2.47,3.17,3.85,4.51,5.16,5.79,6.41,7.02,7.63,8.23,8.83,9.42,10.01,10.59,11.18,11.75,,,
18,1.04,1.91,2.61,3.28,3.94,4.58,5.21,5.83,6.44,7.05,7.65,8.24,8.83,9.42,10.00,10.59,11.16,11.74,,
19,0.47,1.30,1.98,2.64,3.27,3.90,4.52,5.12,5.73,6.32,6.91,7.50,8.08,8.66,9.23,9.81,10.38,10.95,11.51,
20,0.00,0.60,1.10,1.60,2.10,2.60,3.10,3.60,4.10,4.60,5.10,5.60,6.10,6.60,7.10,7.60,8.10,8.60,9.10,9.60
