i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.91,,,,,,,,,,,,,,,,,,
2,0.91,1.93,,,,,,,,,,,,,,,,,
3,0.91,1.93,2.98,,,,,,,,,,,,,,,,
4,0.91,1.93,2.98,3.99,,,,,,,,,,,,,,,
5,0.91,1.93,2.98,3.99,5.01,,,,,,,,,,,,,,
6,0.91,1.93,2.98,3.99,5.01,6.04,,,,,,,,,,,,,
7,0.91,1.93,2.98,3.99,5.01,6.04,7.08,,,,,,,,,,,,
8,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,,,,,,,,,,,
9,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,,,,,,,,,,
10,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,10.17,,,,,,,,,
11,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,10.17,11.21,,,,,,,,
12,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,10.17,11.21,12.24,,,,,,,
13,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,10.17,11.21,12.24,13.26,,,,,,
14,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,10.17,11.21,12.24,13.26,14.29,,,,,
15,0.91,1.93,2.98,3.99,5.01,6.04,7.08,8.11,9.14,10.17,11.21,12.24,13.26,14.29,15.32,,,,
16,0.91,1.93,2.98,3.99,5.01,6.04,7.07,8.11,9.14,10.17,11.20,12.23,13.26,14.29,15.31,16.34,,,
17,0.91,1.92,2.97,3.98,5.00,6.03,7.06,8.10,9.13,10.16,11.19,12.22,13.25,14.27,15.30,16.32,17.35,,
18,0.84,1.85,2.90,3.90,4.91,5.93,6.96,7.99,9.02,10.04,11.07,12.10,13.12,14.14,15.17,16.19,17.21,18.23,
19,0.61,1.48,2.40,3.35,4.31,5.29,6.28,7.26,8.26,9.25,10.25,11.25,12.24,13.24,14.24,15.24,16.24,17.24,18.24
