i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.87,,,,,,,,,,,,,,,,,,,
2,10.31,11.45,,,,,,,,,,,,,,,,,,
3,9.75,10.89,11.57,,,,,,,,,,,,,,,,,
4,9.18,10.32,11.01,11.67,,,,,,,,,,,,,,,,
5,8.62,9.76,10.44,11.11,11.75,,,,,,,,,,,,,,,
6,8.05,9.19,9.88,10.54,11.19,11.82,,,,,,,,,,,,,,
7,7.49,8.63,9.32,9.98,10.62,11.25,11.88,,,,,,,,,,,,,
8,6.93,8.07,8.75,9.41,10.06,10.69,11.31,11.93,,,,,,,,,,,,
9,6.36,7.50,8.19,8.85,9.49,10.13,10.75,11.36,11.97,,,,,,,,,,,
10,5.80,6.94,7.62,8.29,8.93,9.56,10.18,10.80,11.40,12.01,,,,,,,,,,
11,5.23,6.37,7.06,7.72,8.37,9.00,9.62,10.23,10.84,11.44,12.04,,,,,,,,,
12,4.67,5.81,6.50,7.16,7.80,8.43,9.06,9.67,10.28,10.88,11.47,12.07,,,,,,,,
13,4.11,5.25,5.93,6.59,7.24,7.87,8.49,9.11,9.71,10.31,10.91,11.50,12.09,,,,,,,
14,3.54,4.68,5.37,6.03,6.67,7.31,7.93,8.54,9.15,9.75,10.35,10.94,11.53,12.11,,,,,,
15,2.98,4.12,4.80,5.47,6.11,6.74,7.36,7.98,8.58,9.19,9.78,10.37,10.96,11.55,12.13,,,,,
16,2.41,3.55,4.24,4.90,5.55,6.18,6.80,7.41,8.02,8.62,9.22,9.81,10.40,10.98,11.56,12.14,,,,
17,1.85,2.99,3.67,4.34,4.98,5.61,6.23,6.85,7.45,8.05,8.65,9.24,9.83,10.41,11.00,11.58,12.15,,,
18,1.29,2.42,3.10,3.76,4.40,5.03,5.65,6.26,6.87,7.47,8.06,8.66,9.24,9.83,10.41,10.99,11.56,12.13,,
19,0.70,1.81,2.47,3.10,3.73,4.34,4.95,5.55,6.14,6.73,7.32,7.90,8.48,9.06,9.63,10.20,10.77,11.34,11.90,
20,0.00,0.92,1.42,1.92,2.42,2.92,3.42,3.92,4.42,4.92,5.42,5.92,6.42,6.92,7.42,7.92,8.42,8.92,9.42,9.92
