i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.68,,,,,,,,,,,,,,,,,,,
2,10.12,11.02,,,,,,,,,,,,,,,,,,
3,9.55,10.45,11.15,,,,,,,,,,,,,,,,,
4,8.99,9.89,10.59,11.27,,,,,,,,,,,,,,,,
5,8.42,9.33,10.03,10.70,11.36,,,,,,,,,,,,,,,
6,7.86,8.76,9.46,10.14,10.80,11.44,,,,,,,,,,,,,,
7,7.30,8.20,8.90,9.57,10.23,10.87,11.50,,,,,,,,,,,,,
8,6.73,7.63,8.33,9.01,9.67,10.31,10.94,11.56,,,,,,,,,,,,
9,6.17,7.07,7.77,8.45,9.10,9.75,10.38,11.00,11.61,,,,,,,,,,,
10,5.60,6.51,7.21,7.88,8.54,9.18,9.81,10.43,11.04,11.65,,,,,,,,,,
11,5.04,5.94,6.64,7.32,7.98,8.62,9.25,9.87,10.48,11.09,11.69,,,,,,,,,
12,4.48,5.38,6.08,6.76,7.41,8.05,8.68,9.30,9.92,10.52,11.12,11.72,,,,,,,,
13,3.91,4.81,5.52,6.19,6.85,7.49,8.12,8.74,9.35,9.96,10.56,11.16,11.75,,,,,,,
14,3.35,4.25,4.95,5.63,6.28,6.93,7.56,8.18,8.79,9.39,10.00,10.59,11.18,11.77,,,,,,
15,2.78,3.69,4.39,5.06,5.72,6.36,6.99,7.61,8.22,8.83,9.43,10.03,10.62,11.21,11.79,,,,,
16,2.22,3.12,3.82,4.50,5.16,5.80,6.43,7.05,7.66,8.27,8.87,9.46,10.05,10.64,11.23,11.81,,,,
17,1.66,2.56,3.26,3.93,4.59,5.23,5.86,6.48,7.09,7.70,8.30,8.90,9.49,10.07,10.66,11.24,11.82,,,
18,1.09,1.99,2.69,3.36,4.01,4.65,5.28,5.90,6.51,7.12,7.72,8.31,8.90,9.49,10.07,10.65,11.23,11.80,,
19,0.51,1.38,2.06,2.71,3.35,3.97,4.59,5.19,5.79,6.39,6.98,7.56,8.14,8.72,9.30,9.87,10.44,11.01,11.58,
20,0.00,0.65,1.15,1.65,2.15,2.65,3.15,3.65,4.15,4.65,5.15,5.65,6.15,6.65,7.15,7.65,8.15,8.65,9.15,9.65
