i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.75,,,,,,,,,,,,,,,,,,,
2,10.19,11.13,,,,,,,,,,,,,,,,,,
3,9.62,10.57,11.27,,,,,,,,,,,,,,,,,
4,9.06,10.01,10.70,11.38,,,,,,,,,,,,,,,,
5,8.50,9.44,10.14,10.81,11.47,,,,,,,,,,,,,,,
6,7.93,8.88,9.58,10.25,10.90,11.54,,,,,,,,,,,,,,
7,7.37,8.31,9.01,9.68,10.34,10.98,11.60,,,,,,,,,,,,,
8,6.80,7.75,8.45,9.12,9.77,10.41,11.04,11.66,,,,,,,,,,,,
9,6.24,7.19,7.88,8.56,9.21,9.85,10.48,11.09,11.71,,,,,,,,,,,
10,5.68,6.62,7.32,7.99,8.65,9.28,9.91,10.53,11.14,11.75,,,,,,,,,,
11,5.11,6.06,6.76,7.43,8.08,8.72,9.35,9.97,10.58,11.18,11.78,,,,,,,,,
12,4.55,5.49,6.19,6.86,7.52,8.16,8.78,9.40,10.01,10.62,11.22,11.81,,,,,,,,
13,3.99,4.93,5.63,6.30,6.95,7.59,8.22,8.84,9.45,10.05,10.65,11.25,11.84,,,,,,,
14,3.42,4.37,5.06,5.74,6.39,7.03,7.66,8.27,8.89,9.49,10.09,10.68,11.27,11.86,,,,,,
15,2.86,3.80,4.50,5.17,5.83,6.46,7.09,7.71,8.32,8.93,9.53,10.12,10.71,11.30,11.88,,,,,
16,2.29,3.24,3.94,4.61,5.26,5.90,6.53,7.15,7.76,8.36,8.96,9.56,10.15,10.73,11.32,11.90,,,,
17,1.73,2.67,3.37,4.04,4.70,5.33,5.96,6.58,7.19,7.79,8.39,8.99,9.58,10.17,10.75,11.33,11.91,,,
18,1.17,2.11,2.80,3.47,4.12,4.76,5.38,6.00,6.61,7.21,7.81,8.40,8.99,9.58,10.16,10.74,11.32,11.89,,
19,0.56,1.50,2.17,2.82,3.45,4.07,4.68,5.29,5.89,6.48,7.07,7.65,8.23,8.81,9.39,9.96,10.53,11.10,11.66,
20,0.00,0.72,1.22,1.72,2.22,2.72,3.22,3.72,4.22,4.72,5.22,5.72,6.22,6.72,7.22,7.72,8.22,8.72,9.22,9.72
