i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.85,,,,,,,,,,,,,,,,,,
2,0.85,1.86,,,,,,,,,,,,,,,,,
3,0.85,1.86,2.92,,,,,,,,,,,,,,,,
4,0.85,1.86,2.92,3.92,,,,,,,,,,,,,,,
5,0.85,1.86,2.92,3.92,4.94,,,,,,,,,,,,,,
6,0.85,1.86,2.92,3.92,4.94,5.96,,,,,,,,,,,,,
7,0.85,1.86,2.92,3.92,4.94,5.96,6.99,,,,,,,,,,,,
8,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,,,,,,,,,,,
9,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,9.06,,,,,,,,,,
10,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,9.06,10.09,,,,,,,,,
11,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,9.06,10.09,11.12,,,,,,,,
12,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,9.06,10.09,11.12,12.15,,,,,,,
13,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,9.06,10.09,11.12,12.15,13.18,,,,,,
14,0.85,1.86,2.92,3.92,4.94,5.96,6.99,8.03,9.06,10.09,11.12,12.15,13.18,14.21,,,,,
15,0.85,1.85,2.92,3.92,4.94,5.96,6.99,8.03,9.06,10.09,11.12,12.15,13.18,14.21,15.23,,,,
16,0.85,1.85,2.92,3.92,4.94,5.96,6.99,8.02,9.06,10.09,11.12,12.15,13.18,14.20,15.23,16.26,,,
17,0.85,1.85,2.91,3.91,4.93,5.95,6.98,8.01,9.05,10.08,11.11,12.14,13.17,14.19,15.22,16.24,17.27,,
18,0.78,1.78,2.83,3.83,4.84,5.86,6.88,7.91,8.93,9.96,10.99,12.01,13.04,14.06,15.08,16.11,17.13,18.15,
19,0.57,1.43,2.34,3.28,4.24,5.22,6.20,7.19,8.18,9.17,10.17,11.17,12.17,13.16,14.16,15.16,16.16,17.16,18.16
