i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.81,,,,,,,,,,,,,,,,,,,
2,10.25,11.27,,,,,,,,,,,,,,,,,,
3,9.69,10.71,11.40,,,,,,,,,,,,,,,,,
4,9.12,10.15,10.84,11.51,,,,,,,,,,,,,,,,
5,8.56,9.58,10.27,10.94,11.59,,,,,,,,,,,,,,,
6,8.00,9.02,9.71,10.38,11.03,11.66,,,,,,,,,,,,,,
7,7.43,8.45,9.15,9.81,10.46,11.10,11.72,,,,,,,,,,,,,
8,6.87,7.89,8.58,9.25,9.90,10.54,11.16,11.78,,,,,,,,,,,,
9,6.30,7.33,8.02,8.69,9.34,9.97,10.60,11.21,11.82,,,,,,,,,,,
10,5.74,6.76,7.46,8.12,8.77,9.41,10.03,10.65,11.26,11.86,,,,,,,,,,
11,5.18,6.20,6.89,7.56,8.21,8.84,9.47,10.08,10.69,11.30,11.89,,,,,,,,,
12,4.61,5.63,6.33,6.99,7.64,8.28,8.90,9.52,10.13,10.73,11.33,11.92,,,,,,,,
13,4.05,5.07,5.76,6.43,7.08,7.72,8.34,8.96,9.57,10.17,10.77,11.36,11.95,,,,,,,
14,3.48,4.51,5.20,5.87,6.52,7.15,7.78,8.39,9.00,9.60,10.20,10.80,11.38,11.97,,,,,,
15,2.92,3.94,4.64,5.30,5.95,6.59,7.21,7.83,8.44,9.04,9.64,10.23,10.82,11.41,11.99,,,,,
16,2.36,3.38,4.07,4.74,5.39,6.02,6.65,7.26,7.87,8.48,9.07,9.67,10.26,10.84,11.43,12.01,,,,
17,1.79,2.81,3.51,4.17,4.82,5.46,6.08,6.70,7.31,7.91,8.51,9.10,9.69,10.27,10.86,11.44,12.01,,,
18,1.23,2.25,2.93,3.60,4.24,4.88,5.50,6.12,6.72,7.32,7.92,8.51,9.10,9.69,10.27,10.85,11.42,12.00,,
19,0.63,1.64,2.30,2.94,3.57,4.19,4.80,5.40,6.00,6.59,7.18,7.76,8.34,8.92,9.49,10.06,10.63,11.20,11.77,
20,0.00,0.81,1.31,1.81,2.31,2.81,3.31,3.81,4.31,4.81,5.31,5.81,6.31,6.81,7.31,7.81,8.31,8.81,9.31,9.81
