i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.99,,,,,,,,,,,,,,,,,,
2,0.99,2.10,,,,,,,,,,,,,,,,,
3,0.99,2.10,3.07,,,,,,,,,,,,,,,,
4,0.99,2.10,3.07,4.08,,,,,,,,,,,,,,,
5,0.99,2.10,3.07,4.08,5.11,,,,,,,,,,,,,,
6,0.99,2.10,3.07,4.08,5.11,6.14,,,,,,,,,,,,,
7,0.99,2.10,3.07,4.08,5.11,6.14,7.18,,,,,,,,,,,,
8,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,,,,,,,,,,,
9,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,,,,,,,,,,
10,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,10.28,,,,,,,,,
11,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,10.28,11.31,,,,,,,,
12,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,10.28,11.31,12.34,,,,,,,
13,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,10.28,11.31,12.34,13.37,,,,,,
14,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,10.28,11.31,12.34,13.37,14.39,,,,,
15,0.99,2.10,3.07,4.08,5.11,6.14,7.18,8.21,9.24,10.28,11.31,12.34,13.37,14.39,15.42,,,,
16,0.98,2.10,3.06,4.08,5.11,6.14,7.17,8.21,9.24,10.27,11.31,12.33,13.36,14.39,15.42,16.44,,,
17,0.98,2.10,3.06,4.07,5.10,6.13,7.16,8.20,9.23,10.26,11.29,12.32,13.35,14.38,15.40,16.43,17.45,,
18,0.93,2.03,2.98,3.99,5.01,6.03,7.06,8.09,9.12,10.14,11.17,12.20,13.22,14.25,15.27,16.29,17.31,18.33,
19,0.65,1.55,2.48,3.43,4.40,5.38,6.37,7.36,8.35,9.35,10.34,11.34,12.34,13.34,14.34,15.34,16.34,17.34,18.34
