i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.72,,,,,,,,,,,,,,,,,,,
2,10.15,11.08,,,,,,,,,,,,,,,,,,
3,9.59,10.51,11.21,,,,,,,,,,,,,,,,,
4,9.03,9.95,10.65,11.32,,,,,,,,,,,,,,,,
5,8.46,9.39,10.09,10.76,11.41,,,,,,,,,,,,,,,
6,7.90,8.82,9.52,10.20,10.85,11.49,,,,,,,,,,,,,,
7,7.33,8.26,8.96,9.63,10.29,10.93,11.55,,,,,,,,,,,,,
8,6.77,7.69,8.39,9.07,9.72,10.36,10.99,11.61,,,,,,,,,,,,
9,6.21,7.13,7.83,8.50,9.16,9.80,10.43,11.05,11.66,,,,,,,,,,,
10,5.64,6.57,7.27,7.94,8.59,9.23,9.86,10.48,11.09,11.70,,,,,,,,,,
11,5.08,6.00,6.70,7.38,8.03,8.67,9.30,9.92,10.53,11.14,11.74,,,,,,,,,
12,4.51,5.44,6.14,6.81,7.47,8.11,8.74,9.35,9.97,10.57,11.17,11.77,,,,,,,,
13,3.95,4.87,5.57,6.25,6.90,7.54,8.17,8.79,9.40,10.01,10.61,11.20,11.79,,,,,,,
14,3.39,4.31,5.01,5.68,6.34,6.98,7.61,8.23,8.84,9.44,10.04,10.64,11.23,11.82,,,,,,
15,2.82,3.75,4.45,5.12,5.77,6.41,7.04,7.66,8.27,8.88,9.48,10.07,10.67,11.25,11.84,,,,,
16,2.26,3.18,3.88,4.56,5.21,5.85,6.48,7.10,7.71,8.32,8.92,9.51,10.10,10.69,11.27,11.85,,,,
17,1.69,2.62,3.32,3.99,4.64,5.28,5.91,6.53,7.14,7.75,8.35,8.94,9.53,10.12,10.71,11.29,11.86,,,
18,1.13,2.05,2.75,3.42,4.07,4.71,5.33,5.95,6.56,7.16,7.76,8.36,8.95,9.53,10.12,10.70,11.27,11.85,,
19,0.54,1.44,2.12,2.77,3.40,4.02,4.64,5.24,5.84,6.43,7.02,7.61,8.19,8.77,9.34,9.91,10.49,11.05,11.62,
20,0.00,0.69,1.19,1.69,2.19,2.69,3.19,3.69,4.19,4.69,5.19,5.69,6.19,6.69,7.19,7.69,8.19,8.69,9.19,9.69
