i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.59,,,,,,,,,,,,,,,,,,,
2,10.02,10.88,,,,,,,,,,,,,,,,,,
3,9.46,10.31,11.02,,,,,,,,,,,,,,,,,
4,8.89,9.75,10.46,11.14,,,,,,,,,,,,,,,,
5,8.33,9.18,9.89,10.57,11.23,,,,,,,,,,,,,,,
6,7.77,8.62,9.33,10.01,10.67,11.32,,,,,,,,,,,,,,
7,7.20,8.06,8.77,9.45,10.11,10.75,11.39,,,,,,,,,,,,,
8,6.64,7.49,8.20,8.88,9.54,10.19,10.82,11.44,,,,,,,,,,,,
9,6.07,6.93,7.64,8.32,8.98,9.62,10.26,10.88,11.50,,,,,,,,,,,
10,5.51,6.36,7.07,7.75,8.42,9.06,9.69,10.32,10.93,11.54,,,,,,,,,,
11,4.95,5.80,6.51,7.19,7.85,8.50,9.13,9.75,10.37,10.98,11.58,,,,,,,,,
12,4.38,5.24,5.95,6.63,7.29,7.93,8.57,9.19,9.80,10.41,11.01,11.61,,,,,,,,
13,3.82,4.67,5.38,6.06,6.72,7.37,8.00,8.62,9.24,9.85,10.45,11.05,11.64,,,,,,,
14,3.25,4.11,4.82,5.50,6.16,6.80,7.44,8.06,8.68,9.28,9.89,10.48,11.08,11.66,,,,,,
15,2.69,3.55,4.25,4.93,5.60,6.24,6.87,7.50,8.11,8.72,9.32,9.92,10.51,11.10,11.69,,,,,
16,2.13,2.98,3.69,4.37,5.03,5.68,6.31,6.93,7.55,8.16,8.76,9.35,9.95,10.54,11.12,11.70,,,,
17,1.56,2.42,3.12,3.81,4.47,5.11,5.74,6.37,6.98,7.59,8.19,8.79,9.38,9.97,10.55,11.14,11.72,,,
18,1.00,1.85,2.56,3.23,3.89,4.53,5.16,5.79,6.40,7.01,7.61,8.20,8.79,9.38,9.97,10.55,11.13,11.70,,
19,0.44,1.24,1.93,2.59,3.23,3.86,4.47,5.08,5.68,6.28,6.87,7.46,8.04,8.62,9.19,9.77,10.34,10.91,11.48,
20,0.00,0.57,1.07,1.57,2.07,2.57,3.07,3.57,4.07,4.57,5.07,5.57,6.07,6.57,7.07,7.57,8.07,8.57,9.07,9.57
