i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.50,,,,,,,,,,,,,,,,,,
2,1.50,2.42,,,,,,,,,,,,,,,,,
3,1.50,2.42,3.46,,,,,,,,,,,,,,,,
4,1.50,2.42,3.46,4.50,,,,,,,,,,,,,,,
5,1.50,2.42,3.46,4.50,5.54,,,,,,,,,,,,,,
6,1.50,2.42,3.46,4.50,5.54,6.58,,,,,,,,,,,,,
7,1.50,2.42,3.46,4.50,5.54,6.58,7.62,,,,,,,,,,,,
8,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,,,,,,,,,,,
9,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,,,,,,,,,,
10,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.72,,,,,,,,,
11,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.72,11.76,,,,,,,,
12,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.72,11.76,12.78,,,,,,,
13,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.72,11.76,12.78,13.80,,,,,,
14,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.72,11.76,12.78,13.80,14.83,,,,,
15,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.72,11.75,12.78,13.80,14.83,15.86,,,,
16,1.50,2.42,3.46,4.50,5.54,6.58,7.62,8.65,9.69,10.71,11.74,12.78,13.80,14.82,15.86,16.88,,,
17,1.49,2.41,3.44,4.50,5.54,6.58,7.61,8.64,9.68,10.71,11.73,12.77,13.79,14.81,15.84,16.86,17.89,,
18,1.45,2.34,3.37,4.40,5.43,6.46,7.50,8.53,9.55,10.59,11.62,12.63,13.66,14.69,15.71,16.73,17.75,18.76,
19,0.91,1.88,2.85,3.81,4.80,5.79,6.79,7.78,8.77,9.77,10.77,11.76,12.76,13.76,14.76,15.76,16.76,17.75,18.75
