i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0.83,,,,,,,,,,,,,,,,,,
2,0.83,1.84,,,,,,,,,,,,,,,,,
3,0.83,1.84,2.90,,,,,,,,,,,,,,,,
4,0.83,1.84,2.90,3.90,,,,,,,,,,,,,,,
5,0.83,1.84,2.90,3.90,4.92,,,,,,,,,,,,,,
6,0.83,1.84,2.90,3.90,4.92,5.94,,,,,,,,,,,,,
7,0.83,1.84,2.90,3.90,4.92,5.94,6.97,,,,,,,,,,,,
8,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,,,,,,,,,,,
9,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,,,,,,,,,,
10,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,10.07,,,,,,,,,
11,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,10.07,11.10,,,,,,,,
12,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,10.07,11.10,12.13,,,,,,,
13,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,10.07,11.10,12.13,13.16,,,,,,
14,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,10.07,11.10,12.13,13.16,14.19,,,,,
15,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.01,9.04,10.07,11.10,12.13,13.16,14.19,15.21,,,,
16,0.83,1.84,2.90,3.90,4.92,5.94,6.97,8.00,9.04,10.07,11.10,12.13,13.16,14.18,15.21,16.23,,,
17,0.83,1.83,2.89,3.89,4.91,5.93,6.96,7.99,9.03,10.06,11.09,12.12,13.14,14.17,15.20,16.22,17.24,,
18,0.76,1.76,2.82,3.81,4.82,5.84,6.86,7.89,8.91,9.94,10.97,11.99,13.02,14.04,15.06,16.08,17.10,18.12,
19,0.56,1.42,2.33,3.26,4.22,5.20,6.18,7.17,8.16,9.15,10.15,11.15,12.14,13.14,14.14,15.14,16.14,17.14,18.13
