i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,10.87,,,,,,,,,,,,,,,,,,,
2,10.30,11.43,,,,,,,,,,,,,,,,,,
3,9.74,10.87,11.56,,,,,,,,,,,,,,,,,
4,9.18,10.31,10.99,11.65,,,,,,,,,,,,,,,,
5,8.61,9.74,10.43,11.09,11.74,,,,,,,,,,,,,,,
6,8.05,9.18,9.86,10.53,11.17,11.80,,,,,,,,,,,,,,
7,7.49,8.61,9.30,9.96,10.61,11.24,11.86,,,,,,,,,,,,,
8,6.92,8.05,8.74,9.40,10.04,10.68,11.30,11.91,,,,,,,,,,,,
9,6.36,7.49,8.17,8.84,9.48,10.11,10.73,11.35,11.95,,,,,,,,,,,
10,5.79,6.92,7.61,8.27,8.92,9.55,10.17,10.78,11.39,11.99,,,,,,,,,,
11,5.23,6.36,7.05,7.71,8.35,8.98,9.61,10.22,10.83,11.43,12.02,,,,,,,,,
12,4.67,5.79,6.48,7.14,7.79,8.42,9.04,9.66,10.26,10.86,11.46,12.05,,,,,,,,
13,4.10,5.23,5.92,6.58,7.22,7.86,8.48,9.09,9.70,10.30,10.90,11.49,12.08,,,,,,,
14,3.54,4.67,5.35,6.02,6.66,7.29,7.91,8.53,9.14,9.74,10.33,10.92,11.51,12.10,,,,,,
15,2.97,4.10,4.79,5.45,6.10,6.73,7.35,7.96,8.57,9.17,9.77,10.36,10.95,11.53,12.12,,,,,
16,2.41,3.54,4.23,4.89,5.53,6.16,6.79,7.40,8.01,8.61,9.20,9.80,10.38,10.97,11.55,12.13,,,,
17,1.84,2.97,3.66,4.32,4.97,5.60,6.22,6.83,7.44,8.04,8.64,9.23,9.82,10.40,10.98,11.56,12.14,,,
18,1.28,2.40,3.09,3.75,4.39,5.02,5.64,6.25,6.86,7.46,8.05,8.64,9.23,9.81,10.39,10.97,11.55,12.12,,
19,0.69,1.79,2.45,3.09,3.71,4.33,4.94,5.54,6.13,6.72,7.31,7.89,8.47,9.04,9.62,10.19,10.76,11.32,11.89,
20,0.00,0.91,1.41,1.91,2.41,2.91,3.41,3.91,4.41,4.91,5.41,5.91,6.41,6.91,7.41,7.91,8.41,8.91,9.41,9.91
